,영화명,개봉일,관객수,배급사,장르,기사수,감독수상,감독파워,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_관객수,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_관객수,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_관객수,상영등급,기대지수,비기대지수,holiday,season
0,명량,20140730,17613682,씨제이이앤엠(주),사극,56134,28,2,37,157,22500,1159,6147,682701,1202,6258,705070,1300,6699,867437,15세 관람가,13639,1126,1,2
1,해적: 바다로 간 산적,20140806,8666046,롯데쇼핑㈜롯데엔터테인먼트,어드벤처,22656,9,4,27,167,35335,786,3970,273445,795,3932,254862,789,3947,297432,12세 관람가,4941,1537,1,2
2,수상한 그녀,20140122,8657982,씨제이이앤엠(주),드라마,61925,27,2,19,149,31394,577,2672,142843,588,2740,138364,613,2909,175833,15세 관람가,0,0,1,4
3,국제시장,20141217,5345677,씨제이이앤엠(주),드라마,53038,37,2,68,236,33048,931,4444,184756,954,4491,198552,966,4644,241578,12세 관람가,12784,2052,0,4
4,군도: 민란의 시대,20140723,4774931,(주)쇼박스,사극,21502,24,0,44,72,13964,1250,6252,551841,1273,6374,419127,1295,6641,468320,15세 관람가,14319,1262,1,2
5,타짜-신의 손,20140903,4015361,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",드라마,19273,16,2,28,84,16803,768,3208,201749,789,3339,137708,827,3572,186192,청소년 관람불가,7157,3757,0,3
6,역린,20140430,3849552,롯데쇼핑㈜롯데엔터테인먼트,사극,17528,0,2,25,35,6366,947,4654,287855,995,4828,359186,1020,4982,256994,15세 관람가,6255,810,0,1
7,신의 한 수,20140703,3566852,(주)쇼박스,범죄,190686,0,0,504,1320,73945,664,3506,181459,716,3733,201477,794,4079,369886,청소년 관람불가,2407,365,1,2
8,끝까지 간다,20140529,3450305,(주)쇼박스,액션,41217,12,1,107,300,26472,629,3216,79698,625,3271,107280,645,3430,222279,15세 관람가,1320,229,0,1
9,표적,20140430,2841828,씨제이이앤엠(주),액션,23813,1,0,18,34,7010,576,3132,105838,610,3110,154618,639,3260,141583,15세 관람가,1717,191,0,1
10,나의 사랑 나의 신부,20141008,2141155,씨네그루(주)다우기술,멜로/로맨스,13586,1,0,81,212,12831,577,2935,88406,587,3120,201045,610,3032,114571,15세 관람가,8499,921,0,3
11,남자가 사랑할 때,20140122,1979311,(주)넥스트엔터테인먼트월드(NEW),멜로/로맨스,9097,0,0,11,29,6982,484,2212,98730,497,2219,85593,511,2268,98632,15세 관람가,0,0,1,4
12,기술자들,20141224,1778083,롯데쇼핑㈜롯데엔터테인먼트,범죄,21944,1,0,477,1409,63883,641,3226,274404,614,3126,422784,629,3082,168545,15세 관람가,24306,2459,0,4
13,제보자,20141002,1755181,메가박스중앙(주)플러스엠,드라마,13903,15,0,25,104,21156,676,3511,107854,661,3520,214023,650,3339,188016,12세 관람가,3728,633,0,3
14,피끓는 청춘,20140122,1676040,롯데쇼핑㈜롯데엔터테인먼트,코미디,6921,1,0,22,43,8566,557,2641,157026,607,2789,135915,626,2921,134260,15세 관람가,0,0,1,4
15,두근두근 내 인생,20140903,1624601,씨제이이앤엠(주),드라마,11258,7,0,36,96,13610,612,2980,99364,605,2898,63160,629,2920,100128,12세 관람가,15718,3747,0,3
16,우아한 거짓말,20140313,1619188,CGV아트하우스,드라마,14524,3,2,62,149,15982,485,2313,54153,487,2436,77528,553,2809,187283,12세 관람가,163,13,0,1
17,해무(海霧),20140813,1475507,(주)넥스트엔터테인먼트월드(NEW),드라마,157,9,0,18,54,12091,580,3076,174827,584,3077,159769,548,2776,227378,청소년 관람불가,7489,1057,1,2
18,인간중독,20140514,1441973,(주)넥스트엔터테인먼트월드(NEW),멜로/로맨스,25409,18,0,10,18,4679,576,2742,89092,603,2777,107663,644,2935,126444,청소년 관람불가,5486,1115,0,1
19,찌라시: 위험한 소문,20140220,1221427,씨제이이앤엠(주),범죄,3938,2,2,9,26,4631,466,2193,91576,479,2280,98038,552,2468,173347,15세 관람가,0,0,1,4
20,빅매치,20141127,1177438,(주)넥스트엔터테인먼트월드(NEW),액션,10132,10,0,446,1132,60677,618,2898,75112,626,2998,96658,627,3103,165268,15세 관람가,4634,739,0,3
21,슬로우 비디오,20141002,1169562,이십세기폭스코리아(주),드라마,5936,2,0,17,67,11947,596,3171,98673,618,3433,222079,613,3412,182455,12세 관람가,8508,962,0,3
22,방황하는 칼날,20140410,989906,씨제이이앤엠(주),범죄,4496,3,0,12,43,7863,481,2217,66643,518,2396,84300,594,2741,157498,청소년 관람불가,1932,155,0,1
23,우리는 형제입니다,20141023,970373,(주)쇼박스,코미디,10506,10,0,69,119,4348,517,2569,62171,533,2706,75401,547,2936,141213,12세 관람가,5789,669,0,3
24,카트,20141113,812490,(주)리틀빅픽쳐스,드라마,18289,5,0,51,195,30423,533,2646,101033,544,2655,57791,539,2678,125500,12세 관람가,48999,3049,0,3
25,관능의 법칙,20140213,781516,롯데쇼핑㈜롯데엔터테인먼트,드라마,7556,4,0,22,103,21016,591,2748,58083,588,2785,76470,532,2420,106949,청소년 관람불가,0,0,1,4
26,상의원,20141224,676632,"(주)쇼박스,(주)와우픽쳐스",사극,13202,3,0,77,206,18634,466,2171,108567,454,2010,179740,453,1931,66867,15세 관람가,8746,1553,0,4
27,플랜맨,20140109,632299,롯데쇼핑㈜롯데엔터테인먼트,드라마,4349,0,0,46,83,16573,458,2024,54251,441,2029,56264,433,2006,111867,15세 관람가,0,0,1,4
28,우는 남자,20140604,603495,씨제이이앤엠(주),액션,12694,19,1,408,1128,47328,500,2497,121991,508,2451,67165,480,2119,93916,청소년 관람불가,2136,461,0,2
29,패션왕,20141106,594871,(주)넥스트엔터테인먼트월드(NEW),코미디,14115,1,0,12,17,3869,518,2327,48348,523,2361,53277,515,2314,128083,15세 관람가,39795,8414,0,3
30,황제를 위하여,20140611,592435,유나이티드픽처스(주),액션,5908,0,0,4,12,2847,366,1150,39397,381,2040,51779,402,2132,55598,청소년 관람불가,2734,323,0,2
31,몬스터,20140313,526557,롯데쇼핑㈜롯데엔터테인먼트,스릴러,39560,0,0,7,11,2366,469,2235,67380,489,2346,79801,527,2638,118950,청소년 관람불가,83,20,0,1
32,또 하나의 약속,20140206,497613,(주)오에이엘,드라마,23347,0,0,26,48,9266,159,653,27304,169,697,29139,192,804,55258,12세 관람가,0,0,1,4
33,소녀괴담,20140702,481696,(주)리틀빅픽쳐스,미스터리,6683,2,0,7,13,2168,325,920,24638,416,2105,50390,416,2127,68836,15세 관람가,3750,364,1,2
34,조선미녀삼총사,20140129,480361,(주)쇼박스,코미디,5580,1,0,19,37,6799,388,1963,60234,384,1717,73883,379,1535,91330,12세 관람가,0,0,1,4
35,마담 뺑덕,20141002,471172,씨제이이앤엠(주),멜로/로맨스,12554,1,0,21,49,8522,536,2681,67072,509,2510,87072,474,2253,67742,청소년 관람불가,7380,1585,0,3
36,좋은 친구들,20140710,407228,씨제이이앤엠(주),범죄,9783,0,0,336,1853,40584,348,1784,38128,354,1752,39276,370,1595,56050,청소년 관람불가,2153,268,1,2
37,나의 독재자,20141030,385932,롯데쇼핑㈜롯데엔터테인먼트,드라마,9345,10,0,474,1096,29256,637,2838,37015,654,2958,55203,630,2903,83246,15세 관람가,2953,761,0,3
38,하이힐,20140603,341634,롯데쇼핑㈜롯데엔터테인먼트,범죄,15447,10,0,27,36,6369,291,753,13936,385,1683,47669,374,1644,30549,청소년 관람불가,2252,305,0,2
39,레드카펫,20141023,316953,(주)프레인글로벌,멜로/로맨스,287654,0,0,24,50,6916,375,1673,26180,385,1761,31504,378,1739,44259,15세 관람가,4017,905,0,3
40,덕수리 5형제,20141204,210777,롯데쇼핑㈜롯데엔터테인먼트,코미디,4223,0,0,13,32,5647,327,1342,18744,339,1362,23897,346,1257,41273,15세 관람가,1647,604,0,4
41,아빠를 빌려드립니다,20141120,172652,"메가박스중앙(주)플러스엠,(주)레드로버",코미디,3861,0,0,91,120,7052,324,1140,13283,322,1140,17132,326,1008,34844,12세 관람가,3445,442,0,3
42,가시,20140410,142170,(주)인벤트스톤,멜로/로맨스,30687,9,0,7,17,3618,339,1638,20553,333,1658,20513,345,1511,27216,청소년 관람불가,2456,413,0,1
43,맨홀,20141008,133663,롯데쇼핑㈜롯데엔터테인먼트,공포(호러),4750,0,0,11,17,3931,279,1462,26180,285,1332,29174,286,1261,13350,청소년 관람불가,5589,1139,0,3
44,터널 3D,20140820,80989,(주)박수엔터테인먼트,공포(호러),5947,0,0,6,17,3571,264,916,19255,255,782,9033,258,742,8583,15세 관람가,2869,587,1,2
45,설계,20140918,45726,(주)팝엔터테인먼트,스릴러,92767,0,0,2,6,1635,252,932,8031,257,888,7214,249,677,7289,청소년 관람불가,613,251,0,3
46,백프로,20140403,37909,(주)마인스 엔터테인먼트,코미디,1985,0,0,6,8,1507,224,796,5451,227,780,4860,236,834,9552,15세 관람가,1123,138,0,1
47,베테랑,20150805,13414009,씨제이이앤엠(주),액션,93360,47,6,39,145,25421,957,5096,414219,942,5009,404907,984,5100,477754,15세 관람가,9952,1339,1,2
48,암살,20150722,12705700,(주)쇼박스,액션,81348,40,4,37,64,14375,1264,6245,477541,1330,6497,435039,1370,6813,543245,15세 관람가,20846,3541,1,2
49,내부자들,20151119,7055332,(주)쇼박스,범죄,35719,16,2,712,1814,113784,907,4418,230949,954,4638,283518,1072,5334,489503,청소년 관람불가,12198,5619,0,3
50,사도,20150916,6246849,(주)쇼박스,사극,42818,97,8,15,63,14455,1123,6108,250237,1190,6447,223381,1203,6661,281969,12세 관람가,22459,2652,0,3
51,연평해전,20150624,6043784,(주)넥스트엔터테인먼트월드(NEW),드라마,17579,9,1,42,81,9223,667,3147,153400,717,3296,170284,850,3688,228338,12세 관람가,28626,3205,0,2
52,검은 사제들,20151105,5442128,씨제이이앤엠(주),미스터리,19521,10,1,19,39,7584,834,4657,191090,887,4988,272689,1064,5983,581845,15세 관람가,15918,2041,0,3
53,히말라야,20151216,5129409,씨제이이앤엠(주),드라마,23893,9,4,77,168,26776,1009,4923,203173,978,4733,190883,1007,4926,242838,12세 관람가,13693,1976,0,4
54,조선명탐정 : 사라진 놉의 딸,20150211,3872015,(주)쇼박스,사극,7541,1,0,14,34,8202,740,3670,113443,766,3741,110284,769,3889,137631,12세 관람가,7406,952,1,4
55,스물,20150325,3044811,(주)넥스트엔터테인먼트월드(NEW),코미디,23837,2,0,58,167,18501,786,4212,151161,829,4500,114294,831,4667,160114,15세 관람가,27413,2121,0,1
56,극비수사,20150618,2860786,(주)쇼박스,드라마,10789,15,0,18,37,6663,722,3979,181737,770,4278,205567,894,4945,412599,15세 관람가,9189,1140,0,2
57,탐정 : 더 비기닝,20150924,2625686,씨제이이앤엠(주),코미디,6376,2,0,49,200,24775,486,2200,50533,494,2294,95087,530,2379,182738,15세 관람가,3319,638,0,3
58,악의 연대기,20150514,2192525,씨제이이앤엠(주),스릴러,10953,1,0,22,65,12711,693,3816,114540,715,4002,168889,776,4415,293387,15세 관람가,5113,582,0,1
59,강남 1970,20150121,2192276,(주)쇼박스,액션,20733,15,0,12,48,10822,684,2816,152329,696,2847,128753,752,3044,148335,청소년 관람불가,21361,4102,1,4
60,뷰티 인사이드,20150820,2053435,(주)넥스트엔터테인먼트월드(NEW),판타지,23636,0,0,81,237,29229,633,2819,114401,646,2885,118845,648,2867,185720,12세 관람가,17219,6346,1,2
61,오늘의 연애,20150114,1891993,씨제이이앤엠(주),멜로/로맨스,17057,19,0,9,35,7684,577,2798,133838,598,2900,153283,625,3070,157607,15세 관람가,19766,2573,1,4
62,쎄시봉,20150205,1715370,씨제이이앤엠(주),멜로/로맨스,14729,25,0,25,66,11447,757,3918,96139,773,4016,110021,829,4184,215539,15세 관람가,12076,24436,1,4
63,더 폰,20151022,1593694,(주)넥스트엔터테인먼트월드(NEW),스릴러,6409,2,0,37,88,18634,705,3328,97241,749,3517,133145,794,3976,249459,15세 관람가,5205,480,0,3
64,대호,20151216,1584168,(주)넥스트엔터테인먼트월드(NEW),사극,15321,11,0,27,92,19064,892,4005,128396,863,3534,107684,832,3491,116610,12세 관람가,8397,1702,0,4
65,차이나타운,20150429,1472106,CGV아트하우스,범죄,23441,6,0,22,39,6348,443,2077,90899,495,2272,88335,500,2277,135205,청소년 관람불가,5953,991,0,1
66,장수상회,20150409,1165780,씨제이이앤엠(주),멜로/로맨스,9525,30,2,38,116,17046,640,3079,53241,653,3215,58574,688,3479,116858,12세 관람가,15600,1136,0,1
67,성난 변호사,20151008,1128288,씨제이이앤엠(주),범죄,5356,2,0,65,123,13682,607,2839,89466,593,2800,160928,577,2666,156779,15세 관람가,2973,470,0,3
68,간신,20150521,1110246,롯데쇼핑㈜롯데엔터테인먼트,사극,14926,8,0,10,40,8947,674,3057,83605,673,3140,92994,697,3105,148495,청소년 관람불가,4570,2003,0,1
69,그놈이다,20151028,1046015,CGV아트하우스,스릴러,14737,0,0,17,39,6343,510,2354,97168,541,2518,68453,590,2773,89633,15세 관람가,5658,575,0,3
70,미쓰 와이프,20150813,988451,메가박스중앙(주)플러스엠,코미디,9913,0,0,32,101,15981,413,1645,56370,415,1518,84681,425,1412,90596,15세 관람가,4930,729,1,2
71,허삼관,20150114,955679,(주)넥스트엔터테인먼트월드(NEW),드라마,11846,18,0,37,53,7868,584,2684,73635,621,2687,84013,582,2646,87228,12세 관람가,10731,2165,1,4
72,살인의뢰,20150312,855980,씨네그루(주)다우기술,범죄,4746,0,0,9,25,6359,481,2492,80774,508,2626,88138,646,3140,187447,청소년 관람불가,8238,1486,0,1
73,손님,20150709,828025,씨제이이앤엠(주),판타지,73856,0,0,18,40,7612,493,2296,144967,608,2643,112763,634,2842,181557,15세 관람가,7780,1337,1,2
74,열정같은소리하고있네,20151125,654102,(주)넥스트엔터테인먼트월드(NEW),드라마,6445,3,0,22,53,10298,550,2558,59737,566,2565,45872,560,2631,57470,15세 관람가,8738,935,0,3
75,특종: 량첸살인기,20151022,616481,롯데쇼핑㈜롯데엔터테인먼트,스릴러,5544,3,0,34,120,24712,776,3626,64516,767,3649,80057,743,3522,127138,15세 관람가,2717,440,0,3
76,서부전선,20150924,609063,롯데쇼핑㈜롯데엔터테인먼트,전쟁,6398,0,0,10,18,4899,499,2120,47432,489,2155,48953,495,2018,79513,12세 관람가,4085,1098,0,3
77,헬머니,20150305,522929,(주)넥스트엔터테인먼트월드(NEW),코미디,3301,0,0,12,18,3904,368,1901,35936,380,1968,40055,422,2052,75954,청소년 관람불가,6556,876,0,1
78,위험한 상견례 2,20150429,472693,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",멜로/로맨스,7415,0,0,13,28,5687,341,783,16506,422,1583,28561,427,1497,47817,15세 관람가,2757,779,0,1
79,순수의 시대,20150305,469891,씨제이이앤엠(주),사극,10096,2,0,23,51,10127,512,2569,61795,523,2648,59611,546,2782,108423,청소년 관람불가,7092,1436,0,1
80,오피스,20150903,441208,(주)리틀빅픽쳐스,스릴러,214023,3,0,14,70,13061,382,1842,46567,409,1882,49454,415,1854,84900,15세 관람가,3593,510,0,3
81,"협녀, 칼의 기억",20150813,431310,롯데쇼핑㈜롯데엔터테인먼트,사극,10491,7,0,11,28,6453,572,2679,79801,562,2410,96717,498,1893,88403,15세 관람가,5465,5503,1,2
82,무뢰한,20150527,414641,CGV아트하우스,멜로/로맨스,14066,8,0,21,46,8043,482,2281,50014,474,2292,36257,477,2320,41949,청소년 관람불가,4059,553,0,1
83,내 심장을 쏴라,20150128,387409,"(주)리틀빅픽쳐스,(주)이수C&E",드라마,6833,0,0,8,21,3969,430,2191,60407,422,2162,40561,441,2229,43565,15세 관람가,6860,759,1,4
84,소수의견,20150624,383582,(주)시네마서비스,드라마,14201,7,0,31,71,16758,378,1842,34334,385,1762,25161,394,1727,33849,15세 관람가,5222,771,0,2
85,경성학교: 사라진 소녀들,20150618,356415,롯데쇼핑㈜롯데엔터테인먼트,미스터리,7048,13,3,6,11,2758,476,2406,53657,470,2454,55098,489,2486,83336,15세 관람가,8640,1340,0,2
86,치외법권,20150827,346483,판씨네마(주),액션,6302,0,0,8,27,5650,405,2060,49585,431,2059,46596,446,1935,78064,15세 관람가,3298,653,1,2
87,극적인 하룻밤,20151203,320884,CGV아트하우스,멜로/로맨스,7220,0,0,2,7,1362,386,1847,35140,398,1891,35249,434,1936,55812,청소년 관람불가,2589,530,0,4
88,도리화가,20151125,317505,씨제이이앤엠(주),사극,11834,0,0,20,33,6760,544,2372,49216,550,2333,34219,563,2327,39975,12세 관람가,12459,6309,0,3
89,함정,20150910,257990,(주)인벤트스톤,스릴러,16927,0,0,13,43,9178,359,1200,32277,393,1300,39065,445,1456,65545,청소년 관람불가,2023,551,0,3
90,조선마술사,20151230,224657,롯데쇼핑㈜롯데엔터테인먼트,드라마,10861,11,0,9,16,4472,596,2437,115456,583,2469,104729,608,2319,145065,12세 관람가,13233,1617,0,4
91,연애의 맛,20150507,214539,"(주)와우픽쳐스,(주)쇼박스",멜로/로맨스,11278,0,0,5,11,2385,390,1452,16462,398,1469,20694,397,1363,43494,청소년 관람불가,1176,541,0,1
92,내부자들: 디 오리지널,20151231,160148,(주)쇼박스,범죄,3497,16,2,3,7,1082,595,1533,159066,822,2088,247992,837,2076,232822,청소년 관람불가,0,0,0,4
93,은밀한 유혹,20150604,145547,씨제이이앤엠(주),멜로/로맨스,6834,0,0,12,14,3366,385,1956,21742,394,1974,19545,393,1926,28714,15세 관람가,4687,738,0,2
94,나의 절친 악당들,20150625,133553,이십세기폭스코리아(주),범죄,5834,25,0,17,27,3776,384,1596,26887,375,1496,20823,364,1210,24062,청소년 관람불가,1791,530,0,2
95,퇴마: 무녀굴,20150820,120802,씨네그루(주)다우기술,공포(호러),4891,5,0,8,20,4043,331,981,21790,327,951,19020,322,799,24276,15세 관람가,1993,453,1,2
96,돌연변이,20151022,100523,필라멘트픽쳐스,드라마,14361,0,0,8,26,4742,365,1089,10379,378,1083,13223,393,1020,26989,12세 관람가,8894,1335,0,3
97,쓰리 썸머 나잇,20150715,77621,"(주)리틀빅픽쳐스,(주)인벤트스톤",코미디,4146,8,0,8,16,3243,297,945,12378,294,874,10407,295,835,11365,청소년 관람불가,2529,890,1,2
98,미안해 사랑해 고마워,20151028,51207,(주)쇼박스,드라마,3672,1,0,9,14,3985,333,935,6142,344,972,7072,341,931,5883,15세 관람가,1682,267,0,3
99,비밀,20151015,50196,CGV아트하우스,미스터리,337082,0,0,3,12,1959,305,791,7539,300,776,8950,302,716,10422,15세 관람가,2057,245,0,3
100,약장수,20150423,44214,"(주)대명문화공장,(주)나이너스엔터테인먼트",드라마,3157,1,0,6,14,3203,278,632,4006,282,666,4733,272,585,7468,15세 관람가,1262,267,0,1
101,타투,20151210,12102,와이드 릴리즈(주),스릴러,5260,1,0,1,2,517,81,163,1620,133,208,1889,132,190,2406,청소년 관람불가,2224,371,0,4
102,검은손,20150416,11650,(주)스톰픽쳐스코리아,공포(호러),10926,0,0,1,1,326,178,428,2126,174,430,1803,171,401,2176,청소년 관람불가,372,145,0,1
103,부산행,20160720,11565479,(주)넥스트엔터테인먼트월드(NEW),액션,38862,21,2,431,2698,565286,1571,8831,872673,1613,9092,663365,1667,9501,738823,15세 관람가,62952,8779,1,2
104,검사외전,20160203,9707581,(주)쇼박스,범죄,17261,0,1,20,48,13008,1268,6782,526680,1418,7359,466676,1459,7809,610145,15세 관람가,46891,2492,1,4
105,밀정,20160907,7500420,워너브러더스 코리아(주),액션,22277,37,4,24,93,18533,1221,5479,287228,1246,5635,260642,1333,6100,337358,15세 관람가,13996,1463,0,3
106,터널,20160810,7120508,(주)쇼박스,드라마,40254,18,0,24,80,20854,820,3900,379079,854,3962,360239,919,4268,408520,12세 관람가,14152,1854,1,2
107,인천상륙작전,20160727,7049643,씨제이이앤엠(주),전쟁,22250,8,2,32,76,12711,901,4702,464460,904,4803,354500,942,5032,405477,12세 관람가,35317,4399,1,2
108,럭키,20161013,6975290,(주)쇼박스,코미디,17297,1,1,345,1388,146036,889,4520,214065,956,4832,315620,1080,5784,632885,15세 관람가,15767,1233,0,3
109,곡성,20160512,6879908,이십세기폭스코리아(주),미스터리,27560,52,2,895,2176,176514,1125,4815,310042,1252,5169,409661,1471,6360,761360,15세 관람가,15570,2644,0,1
110,덕혜옹주,20160803,5599229,롯데쇼핑㈜롯데엔터테인먼트,사극,17599,25,1,24,90,14943,774,3458,267112,771,3320,254034,827,3422,282765,12세 관람가,20348,2180,1,2
111,마스터,20161221,4935320,씨제이이앤엠(주),액션,53757,3,2,35,129,23444,1448,6617,392856,1441,6615,347324,1450,7026,417071,15세 관람가,18671,2331,0,4
112,판도라,20161207,4313864,(주)넥스트엔터테인먼트월드(NEW),드라마,15983,4,0,28,78,18372,1029,4777,154652,1074,4741,164931,1086,4919,210438,12세 관람가,8338,1519,0,4
113,아가씨,20160601,4287839,씨제이이앤엠(주),스릴러,47445,91,0,30,55,10768,1016,4701,290024,1069,4824,259971,1122,5104,312873,청소년 관람불가,21671,3963,0,2
114,귀향,20160224,3587173,(주)와우픽쳐스,드라마,15354,7,0,4,15,3772,205,363,1570,197,351,1502,207,340,1919,15세 관람가,1736,136,1,4
115,형,20161123,2979659,씨제이이앤엠(주),코미디,163306,2,0,46,99,20515,744,2150,75882,933,4672,136871,922,4869,164294,12세 관람가,25600,1151,0,3
116,아수라,20160928,2594028,씨제이이앤엠(주),범죄,23131,15,0,44,122,24846,1262,5731,475482,1190,5802,233804,1242,6082,241877,청소년 관람불가,28898,4276,0,3
117,굿바이 싱글,20160629,2108273,(주)쇼박스,코미디,8531,2,0,56,153,31562,661,2994,122543,676,3106,101930,704,3286,130409,15세 관람가,6176,668,0,2
118,봉이 김선달,20160706,2051277,씨제이이앤엠(주),사극,6222,3,0,15,66,12393,747,3393,136701,760,3403,120196,816,3587,155593,12세 관람가,20055,1217,1,2
119,탐정 홍길동: 사라진 마을,20160504,1430885,씨제이이앤엠(주),드라마,4705,6,1,24,53,9080,669,2939,82893,688,2769,192319,718,2945,188592,15세 관람가,6179,660,0,1
120,특별수사: 사형수의 편지,20160616,1241899,(주)넥스트엔터테인먼트월드(NEW),범죄,5017,0,0,35,186,32749,675,3141,75630,691,3203,92658,666,2981,173050,15세 관람가,3052,383,0,2
121,시간이탈자,20160413,1202384,씨제이이앤엠(주),스릴러,7319,8,0,37,70,12265,673,3304,155917,646,3178,42433,681,3362,63886,15세 관람가,7164,738,0,1
122,동주,20160217,1172641,메가박스중앙(주)플러스엠,드라마,20580,97,8,7,24,5398,374,1084,19124,384,1122,26875,403,1168,36130,12세 관람가,8002,520,1,4
123,미씽: 사라진 여자,20161130,1153109,메가박스중앙(주)플러스엠,미스터리,7435,4,0,17,42,6642,633,2903,139198,657,3061,89975,717,3350,113814,15세 관람가,4785,560,0,3
124,"당신, 거기 있어줄래요",20161214,1124815,롯데쇼핑㈜롯데엔터테인먼트,판타지,6878,2,0,43,100,18045,756,3559,92278,764,3613,93085,767,3707,104379,12세 관람가,8363,874,0,4
125,오빠생각,20160121,1069864,(주)넥스트엔터테인먼트월드(NEW),드라마,39124,3,2,83,167,24951,841,4150,78467,851,4163,84019,855,4121,168534,12세 관람가,8257,1092,1,4
126,"날, 보러와요",20160407,1063442,메가박스중앙(주)플러스엠,미스터리,10263,0,0,5,18,4541,424,2067,42192,510,2354,54666,668,2996,112368,청소년 관람불가,4353,392,0,1
127,"고산자, 대동여지도",20160907,974262,씨제이이앤엠(주),사극,6543,44,1,39,92,20623,764,3137,29603,765,3137,31027,756,3142,40824,전체 관람가,3583,625,0,3
128,좋아해줘,20160217,848148,씨제이이앤엠(주),멜로/로맨스,12343,1,0,19,54,11969,614,2540,73132,618,2577,71574,620,2613,76361,12세 관람가,11032,1081,1,4
129,스플릿,20161109,758195,오퍼스픽쳐스,드라마,4978,0,0,47,103,20583,563,2551,33686,615,2639,48354,615,2765,71942,15세 관람가,1700,237,0,3
