,영화명,개봉일,관객수,배급사,장르,기사수,감독수상,감독파워,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_관객수,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_관객수,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_관객수,상영등급,기대지수,비기대지수,holiday,season
130,국가대표 2,20160810,709929,메가박스중앙(주)플러스엠,드라마,34983,0,0,29,173,28848,562,2516,61508,551,2326,53531,541,2169,59772,12세 관람가,7290,1289,1,2
131,그날의 분위기,20160114,653287,(주)쇼박스,멜로/로맨스,17341,0,0,10,33,7519,592,2854,67607,575,2799,68328,586,2645,111188,15세 관람가,8071,1256,1,4
132,사냥,20160629,645922,롯데쇼핑㈜롯데엔터테인먼트,액션,50370,0,0,10,20,5535,696,3574,161021,665,3614,68190,691,3659,70271,15세 관람가,5209,816,0,2
133,널 기다리며,20160310,635235,(주)넥스트엔터테인먼트월드(NEW),스릴러,4296,1,0,8,16,3662,463,2292,41956,470,2366,53965,543,2507,106137,청소년 관람불가,3993,397,0,1
134,가려진 시간,20161116,510878,(주)쇼박스,드라마,9517,3,0,215,362,19152,884,4004,71077,872,3738,60105,823,3523,52002,12세 관람가,12208,1071,0,3
135,해어화,20160413,485695,롯데쇼핑㈜롯데엔터테인먼트,사극,9053,7,0,19,42,7841,557,2525,74087,546,2428,27923,556,2536,28624,15세 관람가,9015,8285,0,1
136,계춘할망,20160519,482516,(주)콘텐츠 난다긴다,가족,6959,1,0,25,102,15115,483,1813,28793,515,1848,39794,526,1649,66163,15세 관람가,6385,658,0,1
137,"로봇, 소리",20160127,476665,롯데쇼핑㈜롯데엔터테인먼트,드라마,12118,4,0,147,548,36250,601,2607,52321,609,2568,30475,573,2488,33754,12세 관람가,5859,777,1,4
138,위대한 소원,20160421,308398,(주)넥스트엔터테인먼트월드(NEW),코미디,3418,0,0,445,1433,25610,521,2767,32598,524,2798,35538,524,2833,58643,15세 관람가,3408,436,0,1
139,혼숨,20161026,288016,(주)프레인글로벌,공포(호러),584,0,0,3,7,1450,421,943,32837,440,1023,23136,456,1106,29867,15세 관람가,4178,477,0,3
140,비밀은 없다,20160623,250829,씨제이이앤엠(주),스릴러,46745,16,0,9,22,3067,463,2334,53485,474,2323,44302,502,2083,51512,청소년 관람불가,3971,749,0,2
141,순정,20160224,240484,(주)리틀빅픽쳐스,드라마,43766,0,0,22,124,24445,467,1702,56244,435,1466,22480,439,1421,19805,12세 관람가,31698,2517,1,4
142,남과 여,20160225,203775,(주)쇼박스,멜로/로맨스,8609,8,0,14,29,7640,424,1504,27887,449,1464,27744,440,1193,33759,청소년 관람불가,10545,1234,1,4
143,대배우,20160330,169984,"(주)대명문화공장,(주)리틀빅픽쳐스",코미디,8264,1,0,11,18,4057,466,1993,26847,462,2092,19465,469,1992,18851,12세 관람가,2352,291,0,1
144,무서운 이야기 3 : 화성에서 온 소녀,20160601,97804,롯데쇼핑㈜롯데엔터테인먼트,공포(호러),2236,0,0,3,9,2389,312,851,11958,305,802,10535,312,815,10674,15세 관람가,1951,696,0,2
145,걷기왕,20161020,95542,CGV아트하우스,드라마,3451,1,0,366,905,10913,437,1687,9130,446,1656,10572,460,1270,16525,12세 관람가,1663,285,0,3
146,엽기적인 그녀 2,20160512,77124,(주)리틀빅픽쳐스,멜로/로맨스,9436,3,0,4,17,2408,380,1082,15373,386,1049,14324,385,808,13498,15세 관람가,9148,17561,0,1
147,번개맨,20160211,69363,씨네그루(주)키다리이엔티,판타지,1231,9,0,5,16,3071,362,774,5192,335,666,4235,393,860,22284,전체 관람가,998,388,1,4
148,올레,20160825,66883,"(주)대명문화공장,(주)리틀빅픽쳐스",드라마,29095,1,0,7,19,2822,338,899,12249,330,853,10609,336,691,13195,15세 관람가,1641,258,1,2
149,두 남자,20161130,60365,씨네그루(주)키다리이엔티,범죄,54356,0,0,11,23,4185,397,1392,13912,375,1268,7456,397,1145,7029,청소년 관람불가,2504,257,0,3
150,목숨 건 연애,20161214,47805,오퍼스픽쳐스,멜로/로맨스,6511,0,0,7,15,3279,378,1099,7489,393,998,7532,382,942,6514,15세 관람가,4556,745,0,4
151,트릭,20160713,38262,"(주)스톰픽쳐스코리아,(주)이수C&E",스릴러,8342,0,0,7,13,1924,390,1321,8589,389,1153,5719,373,916,4608,15세 관람가,1335,345,1,2
152,대결,20160922,32278,"(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온",액션,167636,0,0,4,8,1812,353,1152,5296,366,1113,5371,358,724,5494,15세 관람가,0,0,0,3
153,인천상륙작전 : 익스텐디드 에디션(확장판),20160913,27070,씨제이이앤엠(주),전쟁,349,8,2,3,4,549,81,161,1130,122,197,3589,119,178,6074,15세 관람가,39,11,0,3
154,히야,20160310,21687,(주)라이크 콘텐츠,드라마,1749,1,0,5,7,1507,124,225,2034,124,224,3153,124,219,5634,12세 관람가,11575,328,0,1
155,무수단,20160303,15882,오퍼스픽쳐스,미스터리,3330,0,0,5,8,1496,227,441,2179,227,437,2469,228,375,3862,15세 관람가,1271,631,0,1
156,택시운전사,20170802,12186327,(주)쇼박스,드라마,30684,45,2,83,477,86713,1446,7068,698088,1553,7293,651779,1677,7850,707113,15세 관람가,45603,4812,1,2
157,신과함께-죄와 벌,20171220,8539495,롯데쇼핑㈜롯데엔터테인먼트,판타지,18519,38,8,34,62,16199,1538,6818,406365,1582,6955,401449,1653,7458,497810,12세 관람가,57194,7734,0,4
158,공조,20170118,7817618,씨제이이앤엠(주),액션,33457,3,2,24,92,14606,900,4126,151845,918,4157,141569,938,4217,160116,15세 관람가,9879,1277,1,4
159,범죄도시,20171003,6879841,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",범죄,35216,6,1,35,156,30408,600,2395,164399,687,2464,206458,871,2966,277219,청소년 관람불가,7567,1129,0,3
160,군함도,20170726,6592151,씨제이이앤엠(주),액션,27214,47,6,34,98,21629,2027,10182,972161,1962,10219,559467,1989,10514,582364,15세 관람가,97770,8642,1,2
161,청년경찰,20170809,5653270,롯데쇼핑㈜롯데엔터테인먼트,액션,24506,3,1,26,192,36656,1102,5954,308298,1065,5700,277400,1046,5598,304102,15세 관람가,16419,2025,1,2
162,더 킹,20170118,5317693,(주)넥스트엔터테인먼트월드(NEW),범죄,26041,30,2,26,72,14012,1125,5364,288966,1147,5395,238039,1188,5615,261528,15세 관람가,17679,2089,1,4
163,꾼,20171122,4018035,(주)쇼박스,범죄,14127,0,0,49,189,38739,1195,6295,213172,1210,6393,224945,1253,6666,263452,15세 관람가,6730,1063,0,3
164,강철비,20171214,4014293,(주)넥스트엔터테인먼트월드(NEW),액션,11193,28,1,41,99,16112,1259,5247,236952,1276,5455,288951,1419,6102,539301,15세 관람가,5965,1474,0,4
165,남한산성,20171003,3849087,씨제이이앤엠(주),사극,15819,27,2,40,155,28918,1125,5284,444585,1165,5390,552722,1205,5528,599797,15세 관람가,8809,2005,0,3
166,아이 캔 스피크,20170921,3279296,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",코미디,9984,25,0,37,162,31512,1004,5100,87136,1026,5342,121355,1140,6123,242986,12세 관람가,6377,467,0,3
167,프리즌,20170323,2931897,(주)쇼박스,범죄,9416,3,0,871,2563,108154,909,4234,168336,942,4453,194224,1047,4889,403084,청소년 관람불가,8022,780,0,1
168,살인자의 기억법,20170906,2658589,(주)쇼박스,범죄,9052,10,0,7,17,4720,884,4340,143580,942,4421,143225,989,4724,187986,15세 관람가,9811,2314,0,3
169,보안관,20170503,2588628,롯데쇼핑㈜롯데엔터테인먼트,범죄,11809,0,0,31,123,22154,669,2682,206706,758,2864,193863,878,3062,281401,15세 관람가,2752,461,0,1
170,조작된 도시,20170209,2515501,씨제이이앤엠(주),범죄,12437,7,1,34,98,18203,771,3503,157669,825,3784,186738,1006,4495,353192,15세 관람가,12267,1158,1,4
171,재심,20170215,2421197,"오퍼스픽쳐스,CGV아트하우스",드라마,12295,0,0,15,63,13133,727,3577,121122,789,3664,133292,831,3920,158861,15세 관람가,6797,576,1,4
172,박열,20170628,2359206,메가박스중앙(주)플러스엠,드라마,13843,97,8,29,119,19175,917,4191,201987,995,4495,141299,1066,4954,174136,12세 관람가,7265,912,0,2
173,1987,20171227,1942077,씨제이이앤엠(주),드라마,60507,31,1,45,170,35331,1299,6074,331736,1233,5645,221304,1170,5519,306562,15세 관람가,13877,2453,0,4
174,노무현입니다,20170525,1855149,"CGV아트하우스,영화사 풀",다큐멘터리,33807,0,0,25,50,7328,580,2743,78816,659,3017,94985,775,3578,205704,12세 관람가,45099,3322,0,1
175,임금님의 사건수첩,20170426,1635003,씨제이이앤엠(주),코미디,4539,1,0,25,94,16380,934,4670,108463,966,4822,79824,979,4919,99361,12세 관람가,3320,455,0,1
176,부라더,20171102,1492903,메가박스중앙(주)플러스엠,코미디,5655,0,0,30,130,24942,712,3426,100941,759,3632,130102,884,4183,249687,12세 관람가,3484,487,0,3
177,기억의 밤,20171129,1386611,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",미스터리,47648,2,0,23,42,7136,704,3266,97245,714,3291,69328,728,3369,89649,15세 관람가,5028,594,0,3
178,브이아이피,20170823,1373316,워너브러더스 코리아(주),범죄,6476,11,0,28,39,7480,851,3587,174011,897,3857,160139,958,4095,146348,청소년 관람불가,8614,1102,1,2
179,특별시민,20170426,1362634,(주)쇼박스,드라마,53910,0,0,21,57,8631,1154,5445,186007,1132,5565,110872,1150,5597,134485,15세 관람가,4647,779,0,1
180,장산범,20170817,1306438,(주)넥스트엔터테인먼트월드(NEW),미스터리,4351,2,1,19,49,10307,621,2755,121834,655,2771,125554,711,2731,202956,15세 관람가,7814,1310,1,2
181,악녀,20170608,1208081,(주)넥스트엔터테인먼트월드(NEW),액션,20383,10,0,9,18,4413,563,2506,73305,590,2595,80452,671,2724,149219,청소년 관람불가,3562,905,0,2
182,해빙,20170301,1204600,롯데쇼핑㈜롯데엔터테인먼트,스릴러,6742,2,0,5,9,3024,828,3969,386128,802,3755,87354,850,3969,91277,15세 관람가,8972,1012,0,1
183,하루,20170615,1129609,CGV아트하우스,스릴러,371130,1,0,8,36,7124,672,3672,77978,707,3798,101803,769,4192,199548,15세 관람가,2233,287,0,2
184,불한당: 나쁜 놈들의 세상,20170517,939535,씨제이이앤엠(주),범죄,7822,10,0,41,206,26263,800,3800,95271,813,3776,91667,828,3888,87670,청소년 관람불가,3041,822,0,1
185,대립군,20170531,837500,이십세기폭스코리아(주),드라마,7200,18,1,28,62,10744,809,3532,136240,776,3447,73171,786,3419,85851,15세 관람가,2929,581,0,1
186,아빠는 딸,20170412,647305,메가박스중앙(주)플러스엠,코미디,53393,0,0,10,33,7428,460,2092,33396,464,2131,31745,478,2170,44942,12세 관람가,5211,513,0,1
187,침묵,20171102,494097,씨제이이앤엠(주),드라마,37609,19,0,18,43,6332,612,2581,57510,630,2661,60910,634,2633,93390,15세 관람가,5381,606,0,3
188,리얼,20170628,470105,씨제이이앤엠(주),액션,183843,0,0,7,18,3891,970,4097,146965,918,3805,57733,859,3469,46591,청소년 관람불가,25803,9210,0,2
189,반드시 잡는다,20171129,446780,(주)넥스트엔터테인먼트월드(NEW),스릴러,3555,1,0,14,31,7267,557,2591,59907,554,2489,37426,565,2452,38542,15세 관람가,2344,497,0,3
190,원라인,20170329,435048,(주)넥스트엔터테인먼트월드(NEW),범죄,6101,1,0,23,44,9888,613,2376,53333,594,2309,30533,589,2228,41698,15세 관람가,3962,460,0,1
191,보통사람,20170323,383336,오퍼스픽쳐스,드라마,22056,1,0,16,40,6396,621,2604,35583,620,2617,43460,619,2402,86992,15세 관람가,2459,363,0,1
192,대장 김창수,20171019,381483,"씨네그루(주)키다리이엔티,주식회사 키위컴퍼니",드라마,4814,0,0,43,95,14275,734,3091,44469,748,3010,51214,667,2851,78068,12세 관람가,3259,744,0,3
193,석조저택 살인사건,20170509,353517,씨네그루(주)키다리이엔티,스릴러,3955,4,0,10,26,5540,493,1921,84068,460,1952,25466,460,1921,26492,15세 관람가,1987,343,0,1
194,싱글라이더,20170222,351276,워너브러더스 코리아(주),드라마,7476,0,0,25,43,5453,554,2402,65584,531,2275,35835,546,2219,39873,15세 관람가,3838,916,1,4
195,7호실,20171115,347790,롯데쇼핑㈜롯데엔터테인먼트,코미디,4710,5,0,29,49,6379,629,2762,55985,599,2792,52005,562,2605,38467,15세 관람가,12977,538,0,3
196,희생부활자,20171012,323628,(주)쇼박스,미스터리,3057,15,0,9,9,2895,781,3808,49100,770,3575,53819,676,3070,74141,15세 관람가,5472,660,0,3
197,미옥,20171109,238587,씨네그루(주)키다리이엔티,범죄,3624,1,0,5,13,2623,625,3110,50553,635,3109,40934,609,2931,55584,청소년 관람불가,3455,439,0,3
198,어느날,20170405,234829,"오퍼스픽쳐스,CGV아트하우스",멜로/로맨스,167548,9,0,12,28,5208,457,1933,24326,485,1885,23785,480,1947,27619,15세 관람가,3837,1139,0,1
199,채비,20171109,177428,오퍼스픽쳐스,드라마,8711,0,0,6,25,5187,452,1149,13267,462,1143,12780,469,1072,22888,12세 관람가,2895,236,0,3
200,비정규직 특수요원,20170316,149719,"(주)이수C&E,(주)스톰픽쳐스코리아",코미디,6094,0,0,11,17,3559,448,1763,21892,467,1747,20211,493,1550,35653,15세 관람가,2648,866,0,1
201,로마의 휴일,20170830,134827,메가박스중앙(주)플러스엠,코미디,6480,0,0,12,45,11008,416,1792,24402,399,1732,14432,403,1594,14784,15세 관람가,1583,670,1,2
202,시간위의 집,20170405,128975,"(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니",미스터리,3039,0,0,35,77,6086,407,1657,15518,410,1525,14459,422,1483,16466,15세 관람가,1987,396,0,1
203,루시드 드림,20170222,102170,(주)넥스트엔터테인먼트월드(NEW),SF,4999,1,0,14,39,6135,461,1738,26333,459,1548,13396,460,1360,12099,15세 관람가,5696,2034,1,4
204,"그래, 가족",20170215,46623,월트디즈니컴퍼니코리아 유한책임회사,코미디,12899,0,0,10,11,2798,353,940,8010,361,884,7301,347,799,6092,12세 관람가,2746,170,1,4
205,역모-반란의 시대,20171123,30116,(주)스톰픽쳐스코리아,사극,2810,0,0,5,14,2314,349,777,5727,355,763,5001,336,617,4340,15세 관람가,1436,301,0,3
206,이웃집 스타,20170921,10854,(주)스톰픽쳐스코리아,코미디,6325,0,0,5,8,1704,256,470,1894,240,423,1284,239,372,2003,12세 관람가,1041,107,0,3
207,구세주: 리턴즈,20170914,6151,(주)박수엔터테인먼트,코미디,1071,0,0,2,4,1176,124,200,793,116,194,643,116,170,740,15세 관람가,327,167,0,3
208,신과함께-인과 연,20180801,12274353,롯데컬처웍스(주)롯데엔터테인먼트,판타지,15760,38,8,42,99,21749,1967,9825,1246603,2054,10079,1078012,2126,10543,1078478,12세 관람가,5023,350,1,2
209,안시성,20180919,5438066,(주)넥스트엔터테인먼트월드(NEW),사극,15363,2,2,31,123,25250,1121,4772,122859,1172,4795,133051,1175,5107,211699,12세 관람가,2468,489,0,3
210,완벽한 타인,20181031,5194618,롯데컬처웍스(주)롯데엔터테인먼트,드라마,12795,0,2,136,590,47110,1081,4950,274118,1048,5005,170213,1122,5440,248122,15세 관람가,608,92,0,3
211,독전,20180522,5063620,(주)넥스트엔터테인먼트월드(NEW),범죄,13460,13,3,12,36,7117,1063,5133,376530,1071,5241,161146,1078,5100,158565,15세 관람가,2703,174,0,1
212,공작,20180808,4974463,씨제이이앤엠(주),드라마,39433,24,0,27,62,15097,934,3835,333316,1103,4329,293161,1204,4864,319083,12세 관람가,2437,263,1,2
213,암수살인,20181003,3789222,(주)쇼박스,범죄,8764,0,0,25,111,20512,957,4925,439309,942,4903,156928,1018,5215,216771,15세 관람가,1474,383,0,3
214,마녀,20180627,3189091,워너브러더스 코리아(주),미스터리,41221,11,0,10,32,7836,880,3793,121990,864,3980,94414,921,4213,136113,15세 관람가,275,45,0,2
215,탐정: 리턴즈,20180613,3152873,씨제이이앤엠(주),코미디,5997,4,0,25,94,15947,971,4887,235184,967,4809,92253,947,4879,127030,15세 관람가,760,76,0,2
216,너의 결혼식,20180822,2820685,메가박스중앙(주)플러스엠,멜로/로맨스,11237,0,0,21,145,31020,736,3456,99411,778,3389,76677,849,3737,143132,12세 관람가,2034,105,1,2
217,곤지암,20180328,2675575,(주)쇼박스,공포(호러),6632,5,0,153,623,68083,808,3501,198365,849,3713,117945,954,4237,185811,15세 관람가,744,340,0,1
218,지금 만나러 갑니다,20180314,2602273,롯데쇼핑㈜롯데엔터테인먼트,멜로/로맨스,9915,0,0,35,130,22580,990,4276,89772,1020,4317,85399,1051,4579,125650,12세 관람가,2078,190,0,1
219,목격자,20180815,2524634,(주)넥스트엔터테인먼트월드(NEW),스릴러,26130,0,0,37,122,24080,808,3539,368981,808,3605,161783,868,3868,177251,15세 관람가,583,74,1,2
220,조선명탐정: 흡혈괴마의 비밀,20180208,2444145,(주)쇼박스,사극,5073,1,0,72,202,35646,1140,5972,142796,1183,6140,155170,1249,6608,327600,12세 관람가,3955,259,1,4
221,국가부도의 날,20181128,2222059,씨제이이앤엠(주),드라마,7876,0,0,22,111,19208,1180,5726,301330,1133,5709,181581,1156,5964,242516,12세 관람가,1172,275,0,3
222,명당,20180919,2086418,메가박스중앙(주)플러스엠,사극,14134,0,0,21,64,11099,1069,4440,108903,1046,4362,90103,1043,4588,114575,12세 관람가,1758,112,0,3
223,협상,20180919,1967149,씨제이이앤엠(주),범죄,50670,0,0,50,125,24577,898,3889,81031,883,3746,67737,868,3794,99740,15세 관람가,946,169,0,3
224,창궐,20181025,1599290,(주)넥스트엔터테인먼트월드(NEW),사극,11646,3,2,20,61,11370,1283,6237,156629,1304,6399,204987,1351,6908,340570,15세 관람가,1631,238,0,3
225,성난황소,20181122,1540004,(주)쇼박스,범죄,5825,0,0,311,1151,84548,978,4455,135764,987,4558,151350,1006,4676,282197,15세 관람가,476,115,0,3
226,리틀 포레스트,20180228,1505997,메가박스중앙(주)플러스엠,드라마,11447,15,0,35,84,15598,831,4188,131350,884,4274,167097,830,4101,78782,전체 관람가,5613,276,1,4
227,골든슬럼버,20180214,1387508,씨제이이앤엠(주),범죄,6084,0,0,23,48,8685,762,3653,161564,822,3626,183922,815,3512,223269,15세 관람가,4790,584,1,4
228,궁합,20180228,1340117,씨제이이앤엠(주),코미디,23869,0,0,7,20,4602,855,4103,175057,876,4228,254670,884,4283,103101,12세 관람가,5828,572,1,4
229,사라진 밤,20180307,1315726,씨네그루(주)키다리이엔티,스릴러,10544,0,0,33,52,8223,697,3386,57161,608,2996,65087,683,3207,91236,15세 관람가,397,58,0,1
230,바람 바람 바람,20180405,1194229,(주)넥스트엔터테인먼트월드(NEW),코미디,6165,2,0,38,101,17430,792,3677,95534,955,4105,135974,985,4843,206378,청소년 관람불가,774,97,0,1
231,챔피언,20180501,1128774,워너브러더스 코리아(주),드라마,29365,1,0,11,14,3455,795,3892,139965,816,3921,62830,815,3697,54305,12세 관람가,726,101,0,1
232,염력,20180131,990111,(주)넥스트엔터테인먼트월드(NEW),드라마,7902,18,2,8,31,8581,1099,6347,264711,1053,5998,101924,1051,5717,103337,15세 관람가,4301,1096,1,4
233,인랑,20180725,898945,워너브러더스 코리아(주),SF,10195,37,4,69,96,19666,1085,4503,274510,1029,4270,101715,977,3838,88857,15세 관람가,2941,948,1,2
234,레슬러,20180509,771141,롯데쇼핑㈜롯데엔터테인먼트,드라마,8150,0,0,156,595,53608,878,4613,63660,881,4442,53923,902,4614,69096,15세 관람가,523,162,0,1
235,상류사회,20180829,768249,롯데컬처웍스(주)롯데엔터테인먼트,드라마,11005,0,0,6,15,3288,867,3691,131795,820,3590,82912,841,3634,89069,청소년 관람불가,364,467,1,2
236,물괴,20180912,723951,"롯데컬처웍스(주)롯데엔터테인먼트,씨네그루(주)키다리이엔티",액션,7215,2,0,27,52,7437,1183,6519,105255,1151,6385,79106,1163,6409,93286,15세 관람가,1274,245,0,3
237,미쓰백,20181011,722004,(주)리틀빅픽쳐스,드라마,7084,1,0,8,59,10432,547,2141,21887,582,2183,34098,624,2190,60163,15세 관람가,690,78,0,3
238,버닝,20180517,528372,CGV아트하우스,미스터리,14642,69,0,9,14,3101,728,2837,54088,739,2776,60958,705,2540,85021,청소년 관람불가,10341,3921,0,1
239,7년의 밤,20180328,528007,씨제이이앤엠(주),스릴러,13150,14,1,19,52,7911,872,3361,124688,836,3275,52833,812,3227,57164,15세 관람가,5888,454,0,1
240,변산,20180704,490519,메가박스중앙(주)플러스엠,드라마,7676,97,8,14,110,18814,763,3298,43149,741,3098,40456,695,2885,45057,15세 관람가,1025,103,1,2
241,동네사람들,20181107,460381,(주)리틀빅픽쳐스,액션,37499,0,0,10,27,4731,666,3131,54297,693,2867,51055,715,2833,53633,15세 관람가,517,88,0,3
242,원더풀 고스트,20180926,450374,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",코미디,3365,0,0,12,33,6318,351,1856,163644,344,1813,35733,349,1796,36922,12세 관람가,946,134,0,3
243,흥부: 글로 세상을 바꾼 자,20180214,416303,롯데쇼핑㈜롯데엔터테인먼트,사극,780,9,0,8,16,3850,557,2359,43694,579,2072,62908,568,1770,80692,12세 관람가,4290,342,1,4
244,도어락,20181205,395313,메가박스중앙(주)플러스엠,스릴러,4619,0,0,44,108,20042,854,4323,122978,863,3986,112469,913,4226,139818,15세 관람가,383,68,0,4
245,허스토리,20180627,336100,(주)넥스트엔터테인먼트월드(NEW),드라마,6906,8,0,55,190,32406,696,2617,44340,657,2590,25879,602,2469,25042,12세 관람가,494,49,0,2
246,덕구,20180405,315359,메가박스중앙(주)플러스엠,드라마,2781,0,0,9,49,11763,463,1760,17766,462,1703,20919,509,1486,40590,전체 관람가,446,27,0,1
247,번 더 스테이지: 더 무비,20181115,315014,월트디즈니컴퍼니코리아 유한책임회사,기타,1036,0,0,,,,243,698,76800,185,561,41901,200,533,61237,전체 관람가,1765,56,0,3
248,치즈인더트랩,20180314,229005,(주)리틀빅픽쳐스,멜로/로맨스,16072,0,0,43,52,6155,346,1636,32805,338,1526,16640,350,1559,23166,15세 관람가,3832,279,0,1
249,속닥속닥,20180713,217444,(주)그노스,공포(호러),2522,0,0,7,11,2542,266,1216,56855,314,1330,61369,298,1284,43373,15세 관람가,272,35,1,2
250,나를 기억해,20180419,141222,씨네그루(주)키다리이엔티,미스터리,132994,0,0,2,5,833,484,2267,18797,514,2374,22593,545,2370,33511,청소년 관람불가,555,104,0,1
251,독전: 익스텐디드 컷,20180718,137871,(주)넥스트엔터테인먼트월드(NEW),범죄,416,13,3,,,,251,471,19998,303,592,14829,347,750,18465,15세 관람가,2703,174,1,2
252,게이트,20180228,101381,(주)제이앤씨미디어그룹,범죄,27412,0,0,5,9,1890,179,528,13723,208,554,19761,203,545,8289,15세 관람가,371,121,1,4
253,여중생A,20180620,97850,롯데컬처웍스(주)롯데엔터테인먼트,드라마,4849,0,0,18,34,5877,479,1730,11085,455,1321,5871,447,1308,7804,12세 관람가,2820,337,0,2
254,여곡성,20181108,67368,(주)스마일이엔티,공포(호러),3475,0,0,3,7,1586,191,901,11477,196,830,12119,212,681,16151,15세 관람가,391,93,0,3
255,번개맨과 신비의 섬,20180405,60561,"힘컨텐츠(주),(주)디스테이션",가족,69,0,0,3,3,638,114,137,2357,120,146,1602,182,407,16093,전체 관람가,57,8,0,1
256,머니백,20180412,53610,(주)리틀빅픽쳐스,액션,2180,0,0,14,27,5079,472,1285,7666,463,1175,8000,463,932,12015,15세 관람가,262,50,0,1
257,데자뷰,20180530,48279,씨네그루(주)키다리이엔티,미스터리,4593,0,0,6,9,1665,536,1759,15214,475,1515,6138,465,1239,5872,15세 관람가,159,42,0,1
258,비밥바룰라,20180124,47565,씨네그루(주)키다리이엔티,코미디,1795,0,0,9,12,1976,347,647,8922,347,648,6087,325,560,5399,12세 관람가,1231,77,1,4
259,배반의 장미,20181018,41054,롯데컬처웍스(주)롯데엔터테인먼트,코미디,3616,0,0,5,5,1012,457,1384,9499,446,1235,6437,434,994,7436,15세 관람가,115,46,0,3
260,해피 투게더,20181115,26141,플레이리스트(주),드라마,34161,0,0,8,13,1998,240,373,3191,231,343,1992,225,318,4071,12세 관람가,580,32,0,3
261,번개맨의 비밀,20181206,6315,(주)디스테이션,가족,183,0,0,3,7,1289,204,229,2513,189,205,2513,309,424,14058,전체 관람가,54,8,0,4
