,영화명,개봉일,관객수,배급사,장르,상영등급,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,기대지수,비기대지수,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉평균스크린수,개봉평균상영횟수,개봉평균관객수
0,명량,20140730,17613682,씨제이이앤엠(주),사극,15세 관람가,56134,28,2,32,11,263,320,1,2,13639,1126,37.0,157.0,22500.0,1220,6368,751736
1,해적: 바다로 간 산적,20140806,8666046,롯데쇼핑㈜롯데엔터테인먼트,어드벤처,12세 관람가,22656,9,4,19,4,230,289,1,2,4941,1537,27.0,167.0,35335.0,790,3949,275246
2,수상한 그녀,20140122,8657982,씨제이이앤엠(주),드라마,15세 관람가,61925,27,2,21,11,223,264,1,4,0,0,19.0,149.0,31394.0,592,2773,152346
3,국제시장,20141217,5345677,씨제이이앤엠(주),드라마,12세 관람가,53038,37,2,14,19,150,251,0,4,12784,2052,68.0,236.0,33048.0,950,4526,208295
4,군도: 민란의 시대,20140723,4774931,(주)쇼박스,사극,15세 관람가,21502,24,0,23,16,199,278,1,2,14319,1262,44.0,72.0,13964.0,1272,6422,479762
5,타짜-신의 손,20140903,4015361,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",드라마,청소년 관람불가,19273,16,2,4,3,265,261,0,3,7157,3757,28.0,84.0,16803.0,794,3373,175216
6,역린,20140430,3849552,롯데쇼핑㈜롯데엔터테인먼트,사극,15세 관람가,17528,0,2,14,5,208,274,0,1,6255,810,25.0,35.0,6366.0,987,4821,301345
7,신의 한 수,20140703,3566852,(주)쇼박스,범죄,청소년 관람불가,190686,0,0,11,8,82,115,1,2,2407,365,504.0,1320.0,73945.0,724,3772,250940
8,끝까지 간다,20140529,3450305,(주)쇼박스,액션,15세 관람가,41217,12,1,6,5,81,219,0,1,1320,229,107.0,300.0,26472.0,633,3305,136419
9,표적,20140430,2841828,씨제이이앤엠(주),액션,15세 관람가,23813,1,0,7,6,120,261,0,1,1717,191,18.0,34.0,7010.0,608,3167,134013
10,나의 사랑 나의 신부,20141008,2141155,씨네그루(주)다우기술,멜로/로맨스,15세 관람가,13586,1,0,1,1,79,183,0,3,8499,921,81.0,212.0,12831.0,591,3029,134674
11,남자가 사랑할 때,20140122,1979311,(주)넥스트엔터테인먼트월드(NEW),멜로/로맨스,15세 관람가,9097,0,0,16,7,150,217,1,4,0,0,11.0,29.0,6982.0,497,2233,94318
12,기술자들,20141224,1778083,롯데쇼핑㈜롯데엔터테인먼트,범죄,15세 관람가,21944,1,0,3,5,169,252,0,4,24306,2459,477.0,1409.0,63883.0,628,3144,288577
13,제보자,20141002,1755181,메가박스중앙(주)플러스엠,드라마,12세 관람가,13903,15,0,18,12,201,275,0,3,3728,633,25.0,104.0,21156.0,662,3456,169964
14,피끓는 청춘,20140122,1676040,롯데쇼핑㈜롯데엔터테인먼트,코미디,15세 관람가,6921,1,0,11,3,161,205,1,4,0,0,22.0,43.0,8566.0,596,2783,142400
15,두근두근 내 인생,20140903,1624601,씨제이이앤엠(주),드라마,12세 관람가,11258,7,0,5,7,119,184,0,3,15718,3747,36.0,96.0,13610.0,615,2932,87550
16,우아한 거짓말,20140313,1619188,CGV아트하우스,드라마,12세 관람가,14524,3,2,3,7,107,217,0,1,163,13,62.0,149.0,15982.0,508,2519,106321
17,해무(海霧),20140813,1475507,(주)넥스트엔터테인먼트월드(NEW),드라마,청소년 관람불가,157,9,0,23,16,244,314,1,2,7489,1057,18.0,54.0,12091.0,570,2976,187324
18,인간중독,20140514,1441973,(주)넥스트엔터테인먼트월드(NEW),멜로/로맨스,청소년 관람불가,25409,18,0,3,1,207,255,0,1,5486,1115,10.0,18.0,4679.0,607,2818,107733
19,찌라시: 위험한 소문,20140220,1221427,씨제이이앤엠(주),범죄,15세 관람가,3938,2,2,4,11,148,93,1,4,0,0,9.0,26.0,4631.0,499,2313,120987
20,빅매치,20141127,1177438,(주)넥스트엔터테인먼트월드(NEW),액션,15세 관람가,10132,10,0,14,9,171,218,0,3,4634,739,446.0,1132.0,60677.0,623,2999,112346
21,슬로우 비디오,20141002,1169562,이십세기폭스코리아(주),드라마,12세 관람가,5936,2,0,3,2,140,266,0,3,8508,962,17.0,67.0,11947.0,609,3338,167735
22,방황하는 칼날,20140410,989906,씨제이이앤엠(주),범죄,청소년 관람불가,4496,3,0,12,4,110,215,0,1,1932,155,12.0,43.0,7863.0,531,2451,102813
23,우리는 형제입니다,20141023,970373,(주)쇼박스,코미디,12세 관람가,10506,10,0,11,6,53,226,0,3,5789,669,69.0,119.0,4348.0,532,2737,92928
24,카트,20141113,812490,(주)리틀빅픽쳐스,드라마,12세 관람가,18289,5,0,12,6,135,294,0,3,48999,3049,51.0,195.0,30423.0,538,2659,94774
25,관능의 법칙,20140213,781516,롯데쇼핑㈜롯데엔터테인먼트,드라마,청소년 관람불가,7556,4,0,20,3,76,131,1,4,0,0,22.0,103.0,21016.0,570,2651,80500
26,상의원,20141224,676632,"(주)쇼박스,(주)와우픽쳐스",사극,15세 관람가,13202,3,0,6,4,90,211,0,4,8746,1553,77.0,206.0,18634.0,457,2037,118391
27,플랜맨,20140109,632299,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세 관람가,4349,0,0,13,3,77,169,1,4,0,0,46.0,83.0,16573.0,444,2019,74127
28,우는 남자,20140604,603495,씨제이이앤엠(주),액션,청소년 관람불가,12694,19,1,4,1,82,115,0,2,2136,461,408.0,1128.0,47328.0,496,2355,94357
29,패션왕,20141106,594871,(주)넥스트엔터테인먼트월드(NEW),코미디,15세 관람가,14115,1,0,0,1,98,203,0,3,39795,8414,12.0,17.0,3869.0,518,2334,76569
30,황제를 위하여,20140611,592435,유나이티드픽처스(주),액션,청소년 관람불가,5908,0,0,1,5,55,158,0,2,2734,323,4.0,12.0,2847.0,383,1774,48924
31,몬스터,20140313,526557,롯데쇼핑㈜롯데엔터테인먼트,스릴러,청소년 관람불가,39560,0,0,1,3,101,200,0,1,83,20,7.0,11.0,2366.0,495,2406,88710
32,또 하나의 약속,20140206,497613,(주)오에이엘,드라마,12세 관람가,23347,0,0,14,12,134,304,1,4,0,0,26.0,48.0,9266.0,173,718,37233
33,소녀괴담,20140702,481696,(주)리틀빅픽쳐스,미스터리,15세 관람가,6683,2,0,2,1,52,124,1,2,3750,364,7.0,13.0,2168.0,385,1717,47954
34,조선미녀삼총사,20140129,480361,(주)쇼박스,코미디,12세 관람가,5580,1,0,11,4,54,126,1,4,0,0,19.0,37.0,6799.0,383,1738,75149
35,마담 뺑덕,20141002,471172,씨제이이앤엠(주),멜로/로맨스,청소년 관람불가,12554,1,0,4,4,47,55,0,3,7380,1585,21.0,49.0,8522.0,506,2481,73962
36,좋은 친구들,20140710,407228,씨제이이앤엠(주),범죄,청소년 관람불가,9783,0,0,1,4,91,140,1,2,2153,268,336.0,1853.0,40584.0,357,1710,44484
37,나의 독재자,20141030,385932,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세 관람가,9345,10,0,29,8,55,168,0,3,2953,761,474.0,1096.0,29256.0,640,2899,58488
38,하이힐,20140603,341634,롯데쇼핑㈜롯데엔터테인먼트,범죄,청소년 관람불가,15447,10,0,3,2,110,211,0,2,2252,305,27.0,36.0,6369.0,350,1360,30718
39,레드카펫,20141023,316953,(주)프레인글로벌,멜로/로맨스,15세 관람가,287654,0,0,1,1,104,168,0,3,4017,905,24.0,50.0,6916.0,379,1724,33981
40,덕수리 5형제,20141204,210777,롯데쇼핑㈜롯데엔터테인먼트,코미디,15세 관람가,4223,0,0,4,0,65,85,0,4,1647,604,13.0,32.0,5647.0,337,1320,27971
41,아빠를 빌려드립니다,20141120,172652,"메가박스중앙(주)플러스엠,(주)레드로버",코미디,12세 관람가,3861,0,0,3,9,54,50,0,3,3445,442,91.0,120.0,7052.0,324,1096,21753
42,가시,20140410,142170,(주)인벤트스톤,멜로/로맨스,청소년 관람불가,30687,9,0,0,0,102,172,0,1,2456,413,7.0,17.0,3618.0,339,1602,22760
43,맨홀,20141008,133663,롯데쇼핑㈜롯데엔터테인먼트,공포(호러),청소년 관람불가,4750,0,0,12,3,30,159,0,3,5589,1139,11.0,17.0,3931.0,283,1351,22901
44,터널 3D,20140820,80989,(주)박수엔터테인먼트,공포(호러),15세 관람가,5947,0,0,0,0,0,0,1,2,2869,587,6.0,17.0,3571.0,259,813,12290
45,설계,20140918,45726,(주)팝엔터테인먼트,스릴러,청소년 관람불가,92767,0,0,0,0,32,28,0,3,613,251,2.0,6.0,1635.0,252,832,7511
46,백프로,20140403,37909,(주)마인스 엔터테인먼트,코미디,15세 관람가,1985,0,0,15,12,74,103,0,1,1123,138,6.0,8.0,1507.0,229,803,6621
47,베테랑,20150805,13414009,씨제이이앤엠(주),액션,15세 관람가,93360,47,6,34,34,120,296,1,2,9952,1339,39.0,145.0,25421.0,961,5068,432293
48,암살,20150722,12705700,(주)쇼박스,액션,15세 관람가,81348,40,4,34,18,119,298,1,2,20846,3541,37.0,64.0,14375.0,1321,6518,485275
49,내부자들,20151119,7055332,(주)쇼박스,범죄,청소년 관람불가,35719,16,2,35,15,84,263,0,3,12198,5619,712.0,1814.0,113784.0,977,4796,334656
50,사도,20150916,6246849,(주)쇼박스,사극,12세 관람가,42818,97,8,39,15,131,284,0,3,22459,2652,15.0,63.0,14455.0,1172,6405,251862
51,연평해전,20150624,6043784,(주)넥스트엔터테인먼트월드(NEW),드라마,12세 관람가,17579,9,1,4,6,86,294,0,2,28626,3205,42.0,81.0,9223.0,744,3377,184007
52,검은 사제들,20151105,5442128,씨제이이앤엠(주),미스터리,15세 관람가,19521,10,1,19,14,105,270,0,3,15918,2041,19.0,39.0,7584.0,928,5209,348541
53,히말라야,20151216,5129409,씨제이이앤엠(주),드라마,12세 관람가,23893,9,4,16,8,111,252,0,4,13693,1976,77.0,168.0,26776.0,998,4860,212298
54,조선명탐정 : 사라진 놉의 딸,20150211,3872015,(주)쇼박스,사극,12세 관람가,7541,1,0,7,14,66,169,1,4,7406,952,14.0,34.0,8202.0,758,3766,120452
55,스물,20150325,3044811,(주)넥스트엔터테인먼트월드(NEW),코미디,15세 관람가,23837,2,0,3,3,122,301,0,1,27413,2121,58.0,167.0,18501.0,815,4459,141856
56,극비수사,20150618,2860786,(주)쇼박스,드라마,15세 관람가,10789,15,0,21,17,75,231,0,2,9189,1140,18.0,37.0,6663.0,795,4400,266634
57,탐정 : 더 비기닝,20150924,2625686,씨제이이앤엠(주),코미디,15세 관람가,6376,2,0,1,5,87,235,0,3,3319,638,49.0,200.0,24775.0,503,2291,109452
58,악의 연대기,20150514,2192525,씨제이이앤엠(주),스릴러,15세 관람가,10953,1,0,5,8,72,182,0,1,5113,582,22.0,65.0,12711.0,728,4077,192272
59,강남 1970,20150121,2192276,(주)쇼박스,액션,청소년 관람불가,20733,15,0,5,0,89,203,1,4,21361,4102,12.0,48.0,10822.0,710,2902,143139
60,뷰티 인사이드,20150820,2053435,(주)넥스트엔터테인먼트월드(NEW),판타지,12세 관람가,23636,0,0,30,27,48,111,1,2,17219,6346,81.0,237.0,29229.0,642,2857,139655
61,오늘의 연애,20150114,1891993,씨제이이앤엠(주),멜로/로맨스,15세 관람가,17057,19,0,2,2,127,227,1,4,19766,2573,9.0,35.0,7684.0,600,2922,148242
62,쎄시봉,20150205,1715370,씨제이이앤엠(주),멜로/로맨스,15세 관람가,14729,25,0,23,14,96,226,1,4,12076,24436,25.0,66.0,11447.0,786,4039,140566
63,더 폰,20151022,1593694,(주)넥스트엔터테인먼트월드(NEW),스릴러,15세 관람가,6409,2,0,8,8,51,160,0,3,5205,480,37.0,88.0,18634.0,749,3607,159948
64,대호,20151216,1584168,(주)넥스트엔터테인먼트월드(NEW),사극,12세 관람가,15321,11,0,20,2,106,328,0,4,8397,1702,27.0,92.0,19064.0,862,3676,117563
65,차이나타운,20150429,1472106,CGV아트하우스,범죄,청소년 관람불가,23441,6,0,15,5,80,260,0,1,5953,991,22.0,39.0,6348.0,479,2208,104813
66,장수상회,20150409,1165780,씨제이이앤엠(주),멜로/로맨스,12세 관람가,9525,30,2,8,6,105,238,0,1,15600,1136,38.0,116.0,17046.0,660,3257,76224
67,성난 변호사,20151008,1128288,씨제이이앤엠(주),범죄,15세 관람가,5356,2,0,0,2,46,118,0,3,2973,470,65.0,123.0,13682.0,592,2768,135724
68,간신,20150521,1110246,롯데쇼핑㈜롯데엔터테인먼트,사극,청소년 관람불가,14926,8,0,4,7,113,262,0,1,4570,2003,10.0,40.0,8947.0,681,3100,108364
69,그놈이다,20151028,1046015,CGV아트하우스,스릴러,15세 관람가,14737,0,0,7,10,68,182,0,3,5658,575,17.0,39.0,6343.0,547,2548,85084
70,미쓰 와이프,20150813,988451,메가박스중앙(주)플러스엠,코미디,15세 관람가,9913,0,0,6,1,67,250,1,2,4930,729,32.0,101.0,15981.0,417,1525,77215
71,허삼관,20150114,955679,(주)넥스트엔터테인먼트월드(NEW),드라마,12세 관람가,11846,18,0,27,10,97,226,1,4,10731,2165,37.0,53.0,7868.0,595,2672,81625
72,살인의뢰,20150312,855980,씨네그루(주)다우기술,범죄,청소년 관람불가,4746,0,0,6,8,62,177,0,1,8238,1486,9.0,25.0,6359.0,545,2752,118786
73,손님,20150709,828025,씨제이이앤엠(주),판타지,15세 관람가,73856,0,0,14,8,120,228,1,2,7780,1337,18.0,40.0,7612.0,578,2593,146429
74,열정같은소리하고있네,20151125,654102,(주)넥스트엔터테인먼트월드(NEW),드라마,15세 관람가,6445,3,0,22,4,52,94,0,3,8738,935,22.0,53.0,10298.0,558,2584,54359
75,특종: 량첸살인기,20151022,616481,롯데쇼핑㈜롯데엔터테인먼트,스릴러,15세 관람가,5544,3,0,1,1,67,170,0,3,2717,440,34.0,120.0,24712.0,762,3599,90570
76,서부전선,20150924,609063,롯데쇼핑㈜롯데엔터테인먼트,전쟁,12세 관람가,6398,0,0,25,6,110,169,0,3,4085,1098,10.0,18.0,4899.0,494,2097,58632
77,헬머니,20150305,522929,(주)넥스트엔터테인먼트월드(NEW),코미디,청소년 관람불가,3301,0,0,3,5,55,59,0,1,6556,876,12.0,18.0,3904.0,390,1973,50648
78,위험한 상견례 2,20150429,472693,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",멜로/로맨스,15세 관람가,7415,0,0,0,4,57,53,0,1,2757,779,13.0,28.0,5687.0,396,1287,30961
79,순수의 시대,20150305,469891,씨제이이앤엠(주),사극,청소년 관람불가,10096,2,0,5,2,85,138,0,1,7092,1436,23.0,51.0,10127.0,527,2666,76609
80,오피스,20150903,441208,(주)리틀빅픽쳐스,스릴러,15세 관람가,214023,3,0,2,6,91,189,0,3,3593,510,14.0,70.0,13061.0,402,1859,60307
81,"협녀, 칼의 기억",20150813,431310,롯데쇼핑㈜롯데엔터테인먼트,사극,15세 관람가,10491,7,0,22,6,58,133,1,2,5465,5503,11.0,28.0,6453.0,544,2327,88307
82,무뢰한,20150527,414641,CGV아트하우스,멜로/로맨스,청소년 관람불가,14066,8,0,0,5,67,237,0,1,4059,553,21.0,46.0,8043.0,477,2297,42740
83,내 심장을 쏴라,20150128,387409,"(주)리틀빅픽쳐스,(주)이수C&E",드라마,15세 관람가,6833,0,0,4,2,79,111,1,4,6860,759,8.0,21.0,3969.0,431,2194,48177
84,소수의견,20150624,383582,(주)시네마서비스,드라마,15세 관람가,14201,7,0,8,11,127,268,0,2,5222,771,31.0,71.0,16758.0,385,1777,31114
85,경성학교: 사라진 소녀들,20150618,356415,롯데쇼핑㈜롯데엔터테인먼트,미스터리,15세 관람가,7048,13,3,25,7,120,228,0,2,8640,1340,6.0,11.0,2758.0,478,2448,64030
86,치외법권,20150827,346483,판씨네마(주),액션,15세 관람가,6302,0,0,3,0,68,88,1,2,3298,653,8.0,27.0,5650.0,427,2018,58081
87,극적인 하룻밤,20151203,320884,CGV아트하우스,멜로/로맨스,청소년 관람불가,7220,0,0,1,5,30,27,0,4,2589,530,2.0,7.0,1362.0,406,1891,42067
88,도리화가,20151125,317505,씨제이이앤엠(주),사극,12세 관람가,11834,0,0,6,4,113,178,0,3,12459,6309,20.0,33.0,6760.0,552,2344,41136
89,함정,20150910,257990,(주)인벤트스톤,스릴러,청소년 관람불가,16927,0,0,1,5,62,87,0,3,2023,551,13.0,43.0,9178.0,399,1318,45629
90,조선마술사,20151230,224657,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세 관람가,10861,11,0,0,0,111,174,0,4,13233,1617,9.0,16.0,4472.0,595,2408,121750
91,연애의 맛,20150507,214539,"(주)와우픽쳐스,(주)쇼박스",멜로/로맨스,청소년 관람불가,11278,0,0,0,0,23,237,0,1,1176,541,5.0,11.0,2385.0,395,1428,26883
92,내부자들: 디 오리지널,20151231,160148,(주)쇼박스,범죄,청소년 관람불가,3497,16,2,35,15,117,252,0,4,0,0,3.0,7.0,1082.0,751,1899,213293
93,은밀한 유혹,20150604,145547,씨제이이앤엠(주),멜로/로맨스,15세 관람가,6834,0,0,5,3,68,78,0,2,4687,738,12.0,14.0,3366.0,390,1952,23333
94,나의 절친 악당들,20150625,133553,이십세기폭스코리아(주),범죄,청소년 관람불가,5834,25,0,4,1,36,63,0,2,1791,530,17.0,27.0,3776.0,374,1434,23924
95,퇴마: 무녀굴,20150820,120802,씨네그루(주)다우기술,공포(호러),15세 관람가,4891,5,0,5,3,35,46,1,2,1993,453,8.0,20.0,4043.0,326,910,21695
96,돌연변이,20151022,100523,필라멘트픽쳐스,드라마,12세 관람가,14361,0,0,11,2,76,107,0,3,8894,1335,8.0,26.0,4742.0,378,1064,16863
97,쓰리 썸머 나잇,20150715,77621,"(주)리틀빅픽쳐스,(주)인벤트스톤",코미디,청소년 관람불가,4146,8,0,4,8,67,11,1,2,2529,890,8.0,16.0,3243.0,295,884,11383
98,미안해 사랑해 고마워,20151028,51207,(주)쇼박스,드라마,15세 관람가,3672,1,0,5,1,22,29,0,3,1682,267,9.0,14.0,3985.0,339,946,6365
99,비밀,20151015,50196,CGV아트하우스,미스터리,15세 관람가,337082,0,0,1,7,98,151,0,3,2057,245,3.0,12.0,1959.0,302,761,8970
100,약장수,20150423,44214,"(주)대명문화공장,(주)나이너스엔터테인먼트",드라마,15세 관람가,3157,1,0,4,10,20,36,0,1,1262,267,6.0,14.0,3203.0,277,627,5402
101,타투,20151210,12102,와이드 릴리즈(주),스릴러,청소년 관람불가,5260,1,0,0,1,9,8,0,4,2224,371,1.0,2.0,517.0,115,187,1971
102,검은손,20150416,11650,(주)스톰픽쳐스코리아,공포(호러),청소년 관람불가,10926,0,0,0,0,14,8,0,1,372,145,1.0,1.0,326.0,174,419,2035
103,부산행,20160720,11565479,(주)넥스트엔터테인먼트월드(NEW),액션,15세 관람가,38862,21,2,22,22,135,311,1,2,62952,8779,431.0,2698.0,565286.0,1617,9141,758287
104,검사외전,20160203,9707581,(주)쇼박스,범죄,15세 관람가,17261,0,1,21,14,117,276,1,4,46891,2492,20.0,48.0,13008.0,1381,7316,534500
105,밀정,20160907,7500420,워너브러더스 코리아(주),액션,15세 관람가,22277,37,4,30,13,119,289,0,3,13996,1463,24.0,93.0,18533.0,1266,5738,295076
106,터널,20160810,7120508,(주)쇼박스,드라마,12세 관람가,40254,18,0,33,25,132,316,1,2,14152,1854,24.0,80.0,20854.0,864,4043,382612
107,인천상륙작전,20160727,7049643,씨제이이앤엠(주),전쟁,12세 관람가,22250,8,2,16,9,118,307,1,2,35317,4399,32.0,76.0,12711.0,915,4845,408145
108,럭키,20161013,6975290,(주)쇼박스,코미디,15세 관람가,17297,1,1,11,13,107,254,0,3,15767,1233,345.0,1388.0,146036.0,975,5045,387523
109,곡성,20160512,6879908,이십세기폭스코리아(주),미스터리,15세 관람가,27560,52,2,28,14,133,355,0,1,15570,2644,895.0,2176.0,176514.0,1282,5448,493687
110,덕혜옹주,20160803,5599229,롯데쇼핑㈜롯데엔터테인먼트,사극,12세 관람가,17599,25,1,26,6,130,273,1,2,20348,2180,24.0,90.0,14943.0,790,3400,267970
111,마스터,20161221,4935320,씨제이이앤엠(주),액션,15세 관람가,53757,3,2,42,34,117,283,0,4,18671,2331,35.0,129.0,23444.0,1446,6752,385750
112,판도라,20161207,4313864,(주)넥스트엔터테인먼트월드(NEW),드라마,12세 관람가,15983,4,0,10,10,125,261,0,4,8338,1519,28.0,78.0,18372.0,1063,4812,176673
113,아가씨,20160601,4287839,씨제이이앤엠(주),스릴러,청소년 관람불가,47445,91,0,31,15,129,348,0,2,21671,3963,30.0,55.0,10768.0,1069,4876,287622
114,귀향,20160224,3587173,(주)와우픽쳐스,드라마,15세 관람가,15354,7,0,0,2,135,329,1,4,1736,136,4.0,15.0,3772.0,203,351,1663
115,형,20161123,2979659,씨제이이앤엠(주),코미디,12세 관람가,163306,2,0,3,4,131,301,0,3,25600,1151,46.0,99.0,20515.0,866,3897,125682
116,아수라,20160928,2594028,씨제이이앤엠(주),범죄,청소년 관람불가,23131,15,0,25,18,132,287,0,3,28898,4276,44.0,122.0,24846.0,1231,5871,317054
117,굿바이 싱글,20160629,2108273,(주)쇼박스,코미디,15세 관람가,8531,2,0,14,8,37,183,0,2,6176,668,56.0,153.0,31562.0,680,3128,118294
118,봉이 김선달,20160706,2051277,씨제이이앤엠(주),사극,12세 관람가,6222,3,0,6,7,60,179,1,2,20055,1217,15.0,66.0,12393.0,774,3461,137496
119,탐정 홍길동: 사라진 마을,20160504,1430885,씨제이이앤엠(주),드라마,15세 관람가,4705,6,1,5,1,60,187,0,1,6179,660,24.0,53.0,9080.0,691,2884,154601
120,특별수사: 사형수의 편지,20160616,1241899,(주)넥스트엔터테인먼트월드(NEW),범죄,15세 관람가,5017,0,0,9,13,122,241,0,2,3052,383,35.0,186.0,32749.0,677,3108,113779
121,시간이탈자,20160413,1202384,씨제이이앤엠(주),스릴러,15세 관람가,7319,8,0,6,4,73,168,0,1,7164,738,37.0,70.0,12265.0,666,3281,87412
122,동주,20160217,1172641,메가박스중앙(주)플러스엠,드라마,12세 관람가,20580,97,8,7,4,128,281,1,4,8002,520,7.0,24.0,5398.0,387,1124,27376
123,미씽: 사라진 여자,20161130,1153109,메가박스중앙(주)플러스엠,미스터리,15세 관람가,7435,4,0,6,2,102,295,0,3,4785,560,17.0,42.0,6642.0,669,3104,114329
124,"당신, 거기 있어줄래요",20161214,1124815,롯데쇼핑㈜롯데엔터테인먼트,판타지,12세 관람가,6878,2,0,17,8,95,185,0,4,8363,874,43.0,100.0,18045.0,762,3626,96580
125,오빠생각,20160121,1069864,(주)넥스트엔터테인먼트월드(NEW),드라마,12세 관람가,39124,3,2,4,3,93,223,1,4,8257,1092,83.0,167.0,24951.0,849,4144,110340
126,"날, 보러와요",20160407,1063442,메가박스중앙(주)플러스엠,미스터리,청소년 관람불가,10263,0,0,0,4,55,123,0,1,4353,392,5.0,18.0,4541.0,534,2472,69742
127,"고산자, 대동여지도",20160907,974262,씨제이이앤엠(주),사극,전체 관람가,6543,44,1,3,1,76,86,0,3,3583,625,39.0,92.0,20623.0,761,3138,33818
128,좋아해줘,20160217,848148,씨제이이앤엠(주),멜로/로맨스,12세 관람가,12343,1,0,8,6,71,223,1,4,11032,1081,19.0,54.0,11969.0,617,2576,73689
129,스플릿,20161109,758195,오퍼스픽쳐스,드라마,15세 관람가,4978,0,0,5,5,76,130,0,3,1700,237,47.0,103.0,20583.0,597,2651,51327
