,영화명,개봉일,관객수,배급사,장르,상영등급,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,기대지수,비기대지수,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉평균스크린수,개봉평균상영횟수,개봉평균관객수
130,국가대표 2,20160810,709929,메가박스중앙(주)플러스엠,드라마,12세 관람가,34983,0,0,7,14,70,119,1,2,7290,1289,29.0,173.0,28848.0,551,2337,58270
131,그날의 분위기,20160114,653287,(주)쇼박스,멜로/로맨스,15세 관람가,17341,0,0,2,2,49,83,1,4,8071,1256,10.0,33.0,7519.0,584,2766,82374
132,사냥,20160629,645922,롯데쇼핑㈜롯데엔터테인먼트,액션,15세 관람가,50370,0,0,6,6,95,202,0,2,5209,816,10.0,20.0,5535.0,684,3615,99827
133,널 기다리며,20160310,635235,(주)넥스트엔터테인먼트월드(NEW),스릴러,청소년 관람불가,4296,1,0,5,8,50,264,0,1,3993,397,8.0,16.0,3662.0,492,2388,67352
134,가려진 시간,20161116,510878,(주)쇼박스,드라마,12세 관람가,9517,3,0,5,8,78,231,0,3,12208,1071,215.0,362.0,19152.0,859,3755,61061
135,해어화,20160413,485695,롯데쇼핑㈜롯데엔터테인먼트,사극,15세 관람가,9053,7,0,11,9,91,175,0,1,9015,8285,19.0,42.0,7841.0,553,2496,43544
136,계춘할망,20160519,482516,(주)콘텐츠 난다긴다,가족,15세 관람가,6959,1,0,18,0,49,138,0,1,6385,658,25.0,102.0,15115.0,508,1770,44916
137,"로봇, 소리",20160127,476665,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세 관람가,12118,4,0,8,12,65,171,1,4,5859,777,147.0,548.0,36250.0,594,2554,38850
138,위대한 소원,20160421,308398,(주)넥스트엔터테인먼트월드(NEW),코미디,15세 관람가,3418,0,0,2,2,48,40,0,1,3408,436,445.0,1433.0,25610.0,523,2799,42259
139,혼숨,20161026,288016,(주)프레인글로벌,공포(호러),15세 관람가,584,0,0,2,2,32,68,0,3,4178,477,3.0,7.0,1450.0,439,1024,28613
140,비밀은 없다,20160623,250829,씨제이이앤엠(주),스릴러,청소년 관람불가,46745,16,0,21,5,58,258,0,2,3971,749,9.0,22.0,3067.0,479,2246,49766
141,순정,20160224,240484,(주)리틀빅픽쳐스,드라마,12세 관람가,43766,0,0,2,9,130,254,1,4,31698,2517,22.0,124.0,24445.0,447,1529,32843
142,남과 여,20160225,203775,(주)쇼박스,멜로/로맨스,청소년 관람불가,8609,8,0,1,2,82,215,1,4,10545,1234,14.0,29.0,7640.0,437,1387,29796
143,대배우,20160330,169984,"(주)대명문화공장,(주)리틀빅픽쳐스",코미디,12세 관람가,8264,1,0,18,25,53,79,0,1,2352,291,11.0,18.0,4057.0,465,2025,21721
144,무서운 이야기 3 : 화성에서 온 소녀,20160601,97804,롯데쇼핑㈜롯데엔터테인먼트,공포(호러),15세 관람가,2236,0,0,5,1,28,26,0,2,1951,696,3.0,9.0,2389.0,309,822,11055
145,걷기왕,20161020,95542,CGV아트하우스,드라마,12세 관람가,3451,1,0,5,3,87,211,0,3,1663,285,366.0,905.0,10913.0,447,1537,12075
146,엽기적인 그녀 2,20160512,77124,(주)리틀빅픽쳐스,멜로/로맨스,15세 관람가,9436,3,0,3,2,25,20,0,1,9148,17561,4.0,17.0,2408.0,383,979,14398
147,번개맨,20160211,69363,씨네그루(주)키다리이엔티,판타지,전체 관람가,1231,9,0,0,0,44,54,1,4,998,388,5.0,16.0,3071.0,363,766,10570
148,올레,20160825,66883,"(주)대명문화공장,(주)리틀빅픽쳐스",드라마,15세 관람가,29095,1,0,9,2,88,101,1,2,1641,258,7.0,19.0,2822.0,334,814,12017
149,두 남자,20161130,60365,씨네그루(주)키다리이엔티,범죄,청소년 관람불가,54356,0,0,1,5,113,176,0,3,2504,257,11.0,23.0,4185.0,389,1268,9465
150,목숨 건 연애,20161214,47805,오퍼스픽쳐스,멜로/로맨스,15세 관람가,6511,0,0,9,1,47,28,0,4,4556,745,7.0,15.0,3279.0,384,1013,7178
151,트릭,20160713,38262,"(주)스톰픽쳐스코리아,(주)이수C&E",스릴러,15세 관람가,8342,0,0,0,2,72,57,1,2,1335,345,7.0,13.0,1924.0,384,1130,6305
152,대결,20160922,32278,"(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온",액션,15세 관람가,167636,0,0,1,0,57,61,0,3,0,0,4.0,8.0,1812.0,359,996,5387
153,인천상륙작전 : 익스텐디드 에디션(확장판),20160913,27070,씨제이이앤엠(주),전쟁,15세 관람가,349,8,2,16,9,84,78,0,3,39,11,3.0,4.0,549.0,107,178,3597
154,히야,20160310,21687,(주)라이크 콘텐츠,드라마,12세 관람가,1749,1,0,3,4,101,204,0,1,11575,328,5.0,7.0,1507.0,124,222,3607
155,무수단,20160303,15882,오퍼스픽쳐스,미스터리,15세 관람가,3330,0,0,1,0,30,36,0,1,1271,631,5.0,8.0,1496.0,227,417,2836
156,택시운전사,20170802,12186327,(주)쇼박스,드라마,15세 관람가,30684,45,2,39,25,136,283,1,2,45603,4812,83.0,477.0,86713.0,1558,7403,685660
157,신과함께-죄와 벌,20171220,8539495,롯데쇼핑㈜롯데엔터테인먼트,판타지,12세 관람가,18519,38,8,28,26,113,333,0,4,57194,7734,34.0,62.0,16199.0,1591,7077,435208
158,공조,20170118,7817618,씨제이이앤엠(주),액션,15세 관람가,33457,3,2,9,13,123,249,1,4,9879,1277,24.0,92.0,14606.0,918,4166,151176
159,범죄도시,20171003,6879841,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",범죄,청소년 관람불가,35216,6,1,2,6,43,228,0,3,7567,1129,35.0,156.0,30408.0,719,2608,216025
160,군함도,20170726,6592151,씨제이이앤엠(주),액션,15세 관람가,27214,47,6,32,16,127,331,1,2,97770,8642,34.0,98.0,21629.0,1992,10305,704664
161,청년경찰,20170809,5653270,롯데쇼핑㈜롯데엔터테인먼트,액션,15세 관람가,24506,3,1,5,2,104,279,1,2,16419,2025,26.0,192.0,36656.0,1071,5750,296600
162,더 킹,20170118,5317693,(주)넥스트엔터테인먼트월드(NEW),범죄,15세 관람가,26041,30,2,18,15,96,238,1,4,17679,2089,26.0,72.0,14012.0,1153,5458,262844
163,꾼,20171122,4018035,(주)쇼박스,범죄,15세 관람가,14127,0,0,1,9,101,219,0,3,6730,1063,49.0,189.0,38739.0,1219,6451,233856
164,강철비,20171214,4014293,(주)넥스트엔터테인먼트월드(NEW),액션,15세 관람가,11193,28,1,8,7,91,228,0,4,5965,1474,41.0,99.0,16112.0,1318,5601,355068
165,남한산성,20171003,3849087,씨제이이앤엠(주),사극,15세 관람가,15819,27,2,49,17,138,241,0,3,8809,2005,40.0,155.0,28918.0,1165,5400,532368
166,아이 캔 스피크,20170921,3279296,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",코미디,12세 관람가,9984,25,0,15,1,74,212,0,3,6377,467,37.0,162.0,31512.0,1056,5521,150492
167,프리즌,20170323,2931897,(주)쇼박스,범죄,청소년 관람불가,9416,3,0,5,2,120,194,0,1,8022,780,871.0,2563.0,108154.0,966,4525,255214
168,살인자의 기억법,20170906,2658589,(주)쇼박스,범죄,15세 관람가,9052,10,0,30,21,142,235,0,3,9811,2314,7.0,17.0,4720.0,938,4495,158263
169,보안관,20170503,2588628,롯데쇼핑㈜롯데엔터테인먼트,범죄,15세 관람가,11809,0,0,12,8,107,225,0,1,2752,461,31.0,123.0,22154.0,768,2869,227323
170,조작된 도시,20170209,2515501,씨제이이앤엠(주),범죄,15세 관람가,12437,7,1,5,3,80,235,1,4,12267,1158,34.0,98.0,18203.0,867,3927,232533
171,재심,20170215,2421197,"오퍼스픽쳐스,CGV아트하우스",드라마,15세 관람가,12295,0,0,10,6,87,253,1,4,6797,576,15.0,63.0,13133.0,782,3720,137758
172,박열,20170628,2359206,메가박스중앙(주)플러스엠,드라마,12세 관람가,13843,97,8,0,2,127,276,0,2,7265,912,29.0,119.0,19175.0,992,4546,172474
173,1987,20171227,1942077,씨제이이앤엠(주),드라마,15세 관람가,60507,31,1,40,22,135,273,0,4,13877,2453,45.0,170.0,35331.0,1234,5746,286534
174,노무현입니다,20170525,1855149,"CGV아트하우스,영화사 풀",다큐멘터리,12세 관람가,33807,0,0,0,0,133,275,0,1,45099,3322,25.0,50.0,7328.0,671,3112,126501
175,임금님의 사건수첩,20170426,1635003,씨제이이앤엠(주),코미디,12세 관람가,4539,1,0,4,0,49,131,0,1,3320,455,25.0,94.0,16380.0,959,4803,95882
176,부라더,20171102,1492903,메가박스중앙(주)플러스엠,코미디,12세 관람가,5655,0,0,1,9,56,152,0,3,3484,487,30.0,130.0,24942.0,785,3747,160243
177,기억의 밤,20171129,1386611,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",미스터리,15세 관람가,47648,2,0,2,3,98,205,0,3,5028,594,23.0,42.0,7136.0,715,3308,85407
178,브이아이피,20170823,1373316,워너브러더스 코리아(주),범죄,청소년 관람불가,6476,11,0,10,3,82,216,1,2,8614,1102,28.0,39.0,7480.0,902,3846,160166
179,특별시민,20170426,1362634,(주)쇼박스,드라마,15세 관람가,53910,0,0,47,13,85,248,0,1,4647,779,21.0,57.0,8631.0,1145,5535,143788
180,장산범,20170817,1306438,(주)넥스트엔터테인먼트월드(NEW),미스터리,15세 관람가,4351,2,1,4,4,111,230,1,2,7814,1310,19.0,49.0,10307.0,662,2752,150114
181,악녀,20170608,1208081,(주)넥스트엔터테인먼트월드(NEW),액션,청소년 관람불가,20383,10,0,3,2,99,240,0,2,3562,905,9.0,18.0,4413.0,608,2608,100992
182,해빙,20170301,1204600,롯데쇼핑㈜롯데엔터테인먼트,스릴러,15세 관람가,6742,2,0,6,8,92,221,0,1,8972,1012,5.0,9.0,3024.0,826,3897,188253
183,하루,20170615,1129609,CGV아트하우스,스릴러,15세 관람가,371130,1,0,3,4,131,263,0,2,2233,287,8.0,36.0,7124.0,716,3887,126443
184,불한당: 나쁜 놈들의 세상,20170517,939535,씨제이이앤엠(주),범죄,청소년 관람불가,7822,10,0,24,6,130,270,0,1,3041,822,41.0,206.0,26263.0,813,3821,91536
185,대립군,20170531,837500,이십세기폭스코리아(주),드라마,15세 관람가,7200,18,1,13,9,128,221,0,1,2929,581,28.0,62.0,10744.0,790,3466,98420
186,아빠는 딸,20170412,647305,메가박스중앙(주)플러스엠,코미디,12세 관람가,53393,0,0,0,3,53,52,0,1,5211,513,10.0,33.0,7428.0,467,2131,36694
187,침묵,20171102,494097,씨제이이앤엠(주),드라마,15세 관람가,37609,19,0,24,6,110,220,0,3,5381,606,18.0,43.0,6332.0,625,2625,70603
188,리얼,20170628,470105,씨제이이앤엠(주),액션,청소년 관람불가,183843,0,0,5,10,113,293,0,2,25803,9210,7.0,18.0,3891.0,915,3790,83763
189,반드시 잡는다,20171129,446780,(주)넥스트엔터테인먼트월드(NEW),스릴러,15세 관람가,3555,1,0,6,9,32,40,0,3,2344,497,14.0,31.0,7267.0,558,2510,45291
190,원라인,20170329,435048,(주)넥스트엔터테인먼트월드(NEW),범죄,15세 관람가,6101,1,0,5,5,102,189,0,1,3962,460,23.0,44.0,9888.0,598,2304,41854
191,보통사람,20170323,383336,오퍼스픽쳐스,드라마,15세 관람가,22056,1,0,1,2,77,130,0,1,2459,363,16.0,40.0,6396.0,620,2541,55345
192,대장 김창수,20171019,381483,"씨네그루(주)키다리이엔티,주식회사 키위컴퍼니",드라마,12세 관람가,4814,0,0,6,5,84,130,0,3,3259,744,43.0,95.0,14275.0,716,2984,57917
193,석조저택 살인사건,20170509,353517,씨네그루(주)키다리이엔티,스릴러,15세 관람가,3955,4,0,8,7,29,74,0,1,1987,343,10.0,26.0,5540.0,471,1931,45342
194,싱글라이더,20170222,351276,워너브러더스 코리아(주),드라마,15세 관람가,7476,0,0,22,7,82,176,1,4,3838,916,25.0,43.0,5453.0,543,2298,47097
195,7호실,20171115,347790,롯데쇼핑㈜롯데엔터테인먼트,코미디,15세 관람가,4710,5,0,4,3,108,265,0,3,12977,538,29.0,49.0,6379.0,596,2719,48819
196,희생부활자,20171012,323628,(주)쇼박스,미스터리,15세 관람가,3057,15,0,8,4,51,132,0,3,5472,660,9.0,9.0,2895.0,742,3484,59020
197,미옥,20171109,238587,씨네그루(주)키다리이엔티,범죄,청소년 관람불가,3624,1,0,13,3,71,223,0,3,3455,439,5.0,13.0,2623.0,623,3050,49023
198,어느날,20170405,234829,"오퍼스픽쳐스,CGV아트하우스",멜로/로맨스,15세 관람가,167548,9,0,7,3,91,175,0,1,3837,1139,12.0,28.0,5208.0,474,1921,25243
199,채비,20171109,177428,오퍼스픽쳐스,드라마,12세 관람가,8711,0,0,5,1,37,47,0,3,2895,236,6.0,25.0,5187.0,461,1121,16311
200,비정규직 특수요원,20170316,149719,"(주)이수C&E,(주)스톰픽쳐스코리아",코미디,15세 관람가,6094,0,0,0,0,45,34,0,1,2648,866,11.0,17.0,3559.0,469,1686,25918
201,로마의 휴일,20170830,134827,메가박스중앙(주)플러스엠,코미디,15세 관람가,6480,0,0,0,3,45,34,1,2,1583,670,12.0,45.0,11008.0,406,1706,17872
202,시간위의 집,20170405,128975,"(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니",미스터리,15세 관람가,3039,0,0,5,7,79,99,0,1,1987,396,35.0,77.0,6086.0,413,1555,15481
203,루시드 드림,20170222,102170,(주)넥스트엔터테인먼트월드(NEW),SF,15세 관람가,4999,1,0,22,5,55,66,1,4,5696,2034,14.0,39.0,6135.0,460,1548,17276
204,"그래, 가족",20170215,46623,월트디즈니컴퍼니코리아 유한책임회사,코미디,12세 관람가,12899,0,0,3,6,67,53,1,4,2746,170,10.0,11.0,2798.0,353,874,7134
205,역모-반란의 시대,20171123,30116,(주)스톰픽쳐스코리아,사극,15세 관람가,2810,0,0,1,6,46,63,0,3,1436,301,5.0,14.0,2314.0,346,719,5022
206,이웃집 스타,20170921,10854,(주)스톰픽쳐스코리아,코미디,12세 관람가,6325,0,0,0,1,27,17,0,3,1041,107,5.0,8.0,1704.0,245,421,1727
207,구세주: 리턴즈,20170914,6151,(주)박수엔터테인먼트,코미디,15세 관람가,1071,0,0,0,0,13,3,0,3,327,167,2.0,4.0,1176.0,118,188,725
208,신과함께-인과 연,20180801,12274353,롯데컬처웍스(주)롯데엔터테인먼트,판타지,12세 관람가,15760,38,8,25,24,136,257,1,2,5023,350,42.0,99.0,21749.0,2049,10149,1134364
209,안시성,20180919,5438066,(주)넥스트엔터테인먼트월드(NEW),사극,12세 관람가,15363,2,2,3,7,134,271,0,3,2468,489,31.0,123.0,25250.0,1156,4891,155869
210,완벽한 타인,20181031,5194618,롯데컬처웍스(주)롯데엔터테인먼트,드라마,15세 관람가,12795,0,2,19,21,83,233,0,3,608,92,136.0,590.0,47110.0,1083,5131,230817
211,독전,20180522,5063620,(주)넥스트엔터테인먼트월드(NEW),범죄,15세 관람가,13460,13,3,12,12,138,247,0,1,2703,174,12.0,36.0,7117.0,1070,5158,232080
212,공작,20180808,4974463,씨제이이앤엠(주),드라마,12세 관람가,39433,24,0,24,18,128,248,1,2,2437,263,27.0,62.0,15097.0,1080,4342,315186
213,암수살인,20181003,3789222,(주)쇼박스,범죄,15세 관람가,8764,0,0,15,11,107,224,0,3,1474,383,25.0,111.0,20512.0,972,5014,271002
214,마녀,20180627,3189091,워너브러더스 코리아(주),미스터리,15세 관람가,41221,11,0,10,4,107,241,0,2,275,45,10.0,32.0,7836.0,888,3995,117505
215,탐정: 리턴즈,20180613,3152873,씨제이이앤엠(주),코미디,15세 관람가,5997,4,0,1,5,62,194,0,2,760,76,25.0,94.0,15947.0,961,4858,151489
216,너의 결혼식,20180822,2820685,메가박스중앙(주)플러스엠,멜로/로맨스,12세 관람가,11237,0,0,11,2,91,223,1,2,2034,105,21.0,145.0,31020.0,787,3527,106406
217,곤지암,20180328,2675575,(주)쇼박스,공포(호러),15세 관람가,6632,5,0,0,1,112,272,0,1,744,340,153.0,623.0,68083.0,870,3817,167373
218,지금 만나러 갑니다,20180314,2602273,롯데쇼핑㈜롯데엔터테인먼트,멜로/로맨스,12세 관람가,9915,0,0,24,4,98,182,0,1,2078,190,35.0,130.0,22580.0,1020,4390,100273
219,목격자,20180815,2524634,(주)넥스트엔터테인먼트월드(NEW),스릴러,15세 관람가,26130,0,0,3,9,115,245,1,2,583,74,37.0,122.0,24080.0,828,3670,236005
220,조선명탐정: 흡혈괴마의 비밀,20180208,2444145,(주)쇼박스,사극,12세 관람가,5073,1,0,7,14,90,171,1,4,3955,259,72.0,202.0,35646.0,1190,6240,208522
221,국가부도의 날,20181128,2222059,씨제이이앤엠(주),드라마,12세 관람가,7876,0,0,19,9,129,229,0,3,1172,275,22.0,111.0,19208.0,1156,5799,241809
222,명당,20180919,2086418,메가박스중앙(주)플러스엠,사극,12세 관람가,14134,0,0,20,14,145,196,0,3,1758,112,21.0,64.0,11099.0,1052,4463,104527
223,협상,20180919,1967149,씨제이이앤엠(주),범죄,15세 관람가,50670,0,0,19,4,105,222,0,3,946,169,50.0,125.0,24577.0,883,3809,82836
224,창궐,20181025,1599290,(주)넥스트엔터테인먼트월드(NEW),사극,15세 관람가,11646,3,2,4,2,125,249,0,3,1631,238,20.0,61.0,11370.0,1312,6514,234062
225,성난황소,20181122,1540004,(주)쇼박스,범죄,15세 관람가,5825,0,0,1,5,56,142,0,3,476,115,311.0,1151.0,84548.0,990,4563,189770
226,리틀 포레스트,20180228,1505997,메가박스중앙(주)플러스엠,드라마,전체 관람가,11447,15,0,24,5,105,303,1,4,5613,276,35.0,84.0,15598.0,848,4187,125743
227,골든슬럼버,20180214,1387508,씨제이이앤엠(주),범죄,15세 관람가,6084,0,0,18,19,112,218,1,4,4790,584,23.0,48.0,8685.0,799,3597,189585
228,궁합,20180228,1340117,씨제이이앤엠(주),코미디,12세 관람가,23869,0,0,5,3,116,249,1,4,5828,572,7.0,20.0,4602.0,871,4204,177609
229,사라진 밤,20180307,1315726,씨네그루(주)키다리이엔티,스릴러,15세 관람가,10544,0,0,1,4,110,173,0,1,397,58,33.0,52.0,8223.0,662,3196,71161
230,바람 바람 바람,20180405,1194229,(주)넥스트엔터테인먼트월드(NEW),코미디,청소년 관람불가,6165,2,0,4,5,124,181,0,1,774,97,38.0,101.0,17430.0,910,4208,145962
231,챔피언,20180501,1128774,워너브러더스 코리아(주),드라마,12세 관람가,29365,1,0,1,6,76,163,0,1,726,101,11.0,14.0,3455.0,808,3836,85700
232,염력,20180131,990111,(주)넥스트엔터테인먼트월드(NEW),드라마,15세 관람가,7902,18,2,11,7,126,243,1,4,4301,1096,8.0,31.0,8581.0,1067,6020,156657
233,인랑,20180725,898945,워너브러더스 코리아(주),SF,15세 관람가,10195,37,4,13,15,136,244,1,2,2941,948,69.0,96.0,19666.0,1030,4203,155027
234,레슬러,20180509,771141,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세 관람가,8150,0,0,7,10,97,165,0,1,523,162,156.0,595.0,53608.0,887,4556,62226
235,상류사회,20180829,768249,롯데컬처웍스(주)롯데엔터테인먼트,드라마,청소년 관람불가,11005,0,0,7,3,80,178,1,2,364,467,6.0,15.0,3288.0,842,3638,101258
236,물괴,20180912,723951,"롯데컬처웍스(주)롯데엔터테인먼트,씨네그루(주)키다리이엔티",액션,15세 관람가,7215,2,0,5,5,125,254,0,3,1274,245,27.0,52.0,7437.0,1165,6437,92549
237,미쓰백,20181011,722004,(주)리틀빅픽쳐스,드라마,15세 관람가,7084,1,0,4,2,114,275,0,3,690,78,8.0,59.0,10432.0,584,2171,38716
238,버닝,20180517,528372,CGV아트하우스,미스터리,청소년 관람불가,14642,69,0,4,3,122,272,0,1,10341,3921,9.0,14.0,3101.0,724,2717,66689
239,7년의 밤,20180328,528007,씨제이이앤엠(주),스릴러,15세 관람가,13150,14,1,10,5,94,192,0,1,5888,454,19.0,52.0,7911.0,840,3287,78228
240,변산,20180704,490519,메가박스중앙(주)플러스엠,드라마,15세 관람가,7676,97,8,5,1,78,209,1,2,1025,103,14.0,110.0,18814.0,733,3093,42887
241,동네사람들,20181107,460381,(주)리틀빅픽쳐스,액션,15세 관람가,37499,0,0,7,6,40,114,0,3,517,88,10.0,27.0,4731.0,691,2943,52995
242,원더풀 고스트,20180926,450374,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",코미디,12세 관람가,3365,0,0,1,5,21,75,0,3,946,134,12.0,33.0,6318.0,348,1821,78766
243,흥부: 글로 세상을 바꾼 자,20180214,416303,롯데쇼핑㈜롯데엔터테인먼트,사극,12세 관람가,780,9,0,4,6,63,184,1,4,4290,342,8.0,16.0,3850.0,568,2067,62431
244,도어락,20181205,395313,메가박스중앙(주)플러스엠,스릴러,15세 관람가,4619,0,0,0,3,118,241,0,4,383,68,44.0,108.0,20042.0,876,4178,125088
245,허스토리,20180627,336100,(주)넥스트엔터테인먼트월드(NEW),드라마,12세 관람가,6906,8,0,8,4,75,230,0,2,494,49,55.0,190.0,32406.0,651,2558,31753
246,덕구,20180405,315359,메가박스중앙(주)플러스엠,드라마,전체 관람가,2781,0,0,0,1,31,102,0,1,446,27,9.0,49.0,11763.0,478,1649,26425
247,번 더 스테이지: 더 무비,20181115,315014,월트디즈니컴퍼니코리아 유한책임회사,기타,전체 관람가,1036,0,0,0,0,52,131,0,3,1765,56,,,,209,597,59979
248,치즈인더트랩,20180314,229005,(주)리틀빅픽쳐스,멜로/로맨스,15세 관람가,16072,0,0,1,3,116,141,0,1,3832,279,43.0,52.0,6155.0,344,1573,24203
249,속닥속닥,20180713,217444,(주)그노스,공포(호러),15세 관람가,2522,0,0,0,0,56,122,1,2,272,35,7.0,11.0,2542.0,292,1276,53865
250,나를 기억해,20180419,141222,씨네그루(주)키다리이엔티,미스터리,청소년 관람불가,132994,0,0,2,1,42,73,0,1,555,104,2.0,5.0,833.0,514,2337,24967
251,독전: 익스텐디드 컷,20180718,137871,(주)넥스트엔터테인먼트월드(NEW),범죄,15세 관람가,416,13,3,12,12,108,183,1,2,2703,174,,,,300,604,17764
252,게이트,20180228,101381,(주)제이앤씨미디어그룹,범죄,15세 관람가,27412,0,0,11,9,27,33,1,4,371,121,5.0,9.0,1890.0,196,542,13924
253,여중생A,20180620,97850,롯데컬처웍스(주)롯데엔터테인먼트,드라마,12세 관람가,4849,0,0,1,1,166,240,0,2,2820,337,18.0,34.0,5877.0,460,1453,8253
254,여곡성,20181108,67368,(주)스마일이엔티,공포(호러),15세 관람가,3475,0,0,4,1,76,128,0,3,391,93,3.0,7.0,1586.0,199,804,13249
255,번개맨과 신비의 섬,20180405,60561,"힘컨텐츠(주),(주)디스테이션",가족,전체 관람가,69,0,0,0,0,0,4,0,1,57,8,3.0,3.0,638.0,138,230,6684
256,머니백,20180412,53610,(주)리틀빅픽쳐스,액션,15세 관람가,2180,0,0,17,14,24,39,0,1,262,50,14.0,27.0,5079.0,466,1130,9227
257,데자뷰,20180530,48279,씨네그루(주)키다리이엔티,미스터리,15세 관람가,4593,0,0,0,0,44,51,0,1,159,42,6.0,9.0,1665.0,492,1504,9074
258,비밥바룰라,20180124,47565,씨네그루(주)키다리이엔티,코미디,12세 관람가,1795,0,0,0,1,25,26,1,4,1231,77,9.0,12.0,1976.0,339,618,6802
259,배반의 장미,20181018,41054,롯데컬처웍스(주)롯데엔터테인먼트,코미디,15세 관람가,3616,0,0,1,4,38,45,0,3,115,46,5.0,5.0,1012.0,445,1204,7790
260,해피 투게더,20181115,26141,플레이리스트(주),드라마,12세 관람가,34161,0,0,0,4,15,27,0,3,580,32,8.0,13.0,1998.0,232,344,3084
261,번개맨의 비밀,20181206,6315,(주)디스테이션,가족,전체 관람가,183,0,0,0,0,0,1,0,4,54,8,3.0,7.0,1289.0,234,286,6361
