,영화명,개봉일,개봉일2,개봉일7일전,개봉일7일전2,개봉일1일전,개봉일1일전2,개봉전뉴스
160,군함도,2017-07-26,2017.07.26,2017-07-19,2017.07.19,2017-07-25,2017.07.25,4984
18,인간중독,2014-05-14,2014.05.14,2014-05-07,2014.05.07,2014-05-13,2014.05.13,4097
116,아수라,2016-09-28,2016.09.28,2016-09-21,2016.09.21,2016-09-27,2016.09.27,4006
209,안시성,2018-09-19,2018.09.19,2018-09-12,2018.09.12,2018-09-18,2018.09.18,3807
188,리얼,2017-06-28,2017.06.28,2017-06-21,2017.06.21,2017-06-27,2017.06.27,3769
88,도리화가,2015-11-25,2015.11.25,2015-11-18,2015.11.18,2015-11-24,2015.11.24,3521
113,아가씨,2016-06-01,2016.06.01,2016-05-25,2016.05.25,2016-05-31,2016.05.31,3485
248,치즈인더트랩,2018-03-14,2018.03.14,2018-03-07,2018.03.07,2018-03-13,2018.03.13,3333
162,더 킹,2017-01-18,2017.01.18,2017-01-11,2017.01.11,2017-01-17,2017.01.17,3193
238,버닝,2018-05-17,2018.05.17,2018-05-10,2018.05.10,2018-05-16,2018.05.16,3182
107,인천상륙작전,2016-07-27,2016.07.27,2016-07-20,2016.07.20,2016-07-26,2016.07.26,3059
59,강남 1970,2015-01-21,2015.01.21,2015-01-14,2015.01.14,2015-01-20,2015.01.20,2984
71,허삼관,2015-01-14,2015.01.14,2015-01-07,2015.01.07,2015-01-13,2015.01.13,2969
233,인랑,2018-07-25,2018.07.25,2018-07-18,2018.07.18,2018-07-24,2018.07.24,2863
38,하이힐,2014-06-03,2014.06.03,2014-05-27,2014.05.27,2014-06-02,2014.06.02,2840
103,부산행,2016-07-20,2016.07.20,2016-07-13,2016.07.13,2016-07-19,2016.07.19,2823
111,마스터,2016-12-21,2016.12.21,2016-12-14,2016.12.14,2016-12-20,2016.12.20,2781
39,레드카펫,2014-10-23,2014.10.23,2014-10-16,2014.10.16,2014-10-22,2014.10.22,2567
110,덕혜옹주,2016-08-03,2016.08.03,2016-07-27,2016.07.27,2016-08-02,2016.08.02,2541
161,청년경찰,2017-08-09,2017.08.09,2017-08-02,2017.08.02,2017-08-08,2017.08.08,2520
73,손님,2015-07-09,2015.07.09,2015-07-02,2015.07.02,2015-07-08,2015.07.08,2519
61,오늘의 연애,2015-01-14,2015.01.14,2015-01-07,2015.01.07,2015-01-13,2015.01.13,2476
48,암살,2015-07-22,2015.07.22,2015-07-15,2015.07.15,2015-07-21,2015.07.21,2459
194,싱글라이더,2017-02-22,2017.02.22,2017-02-15,2017.02.15,2017-02-21,2017.02.21,2446
20,빅매치,2014-11-27,2014.11.27,2014-11-20,2014.11.20,2014-11-26,2014.11.26,2389
106,터널,2016-08-10,2016.08.10,2016-08-03,2016.08.03,2016-08-09,2016.08.09,2369
158,공조,2017-01-18,2017.01.18,2017-01-11,2017.01.11,2017-01-17,2017.01.17,2331
164,강철비,2017-12-14,2017.12.14,2017-12-07,2017.12.07,2017-12-13,2017.12.13,2301
7,신의 한 수,2014-07-03,2014.07.03,2014-06-26,2014.06.26,2014-07-02,2014.07.02,2283
104,검사외전,2016-02-03,2016.02.03,2016-01-27,2016.01.27,2016-02-02,2016.02.02,2267
53,히말라야,2015-12-16,2015.12.16,2015-12-09,2015.12.09,2015-12-15,2015.12.15,2220
90,조선마술사,2015-12-30,2015.12.30,2015-12-23,2015.12.23,2015-12-29,2015.12.29,2211
29,패션왕,2014-11-06,2014.11.06,2014-10-30,2014.10.30,2014-11-05,2014.11.05,2184
55,스물,2015-03-25,2015.03.25,2015-03-18,2015.03.18,2015-03-24,2015.03.24,2144
78,위험한 상견례 2,2015-04-29,2015.04.29,2015-04-22,2015.04.22,2015-04-28,2015.04.28,2110
115,형,2016-11-23,2016.11.23,2016-11-16,2016.11.16,2016-11-22,2016.11.22,2097
208,신과함께-인과 연,2018-08-01,2018.08.01,2018-07-25,2018.07.25,2018-07-31,2018.07.31,2073
163,꾼,2017-11-22,2017.11.22,2017-11-15,2017.11.15,2017-11-21,2017.11.21,2021
40,덕수리 5형제,2014-12-04,2014.12.04,2014-11-27,2014.11.27,2014-12-03,2014.12.03,2004
239,7년의 밤,2018-03-28,2018.03.28,2018-03-21,2018.03.21,2018-03-27,2018.03.27,1998
62,쎄시봉,2015-02-05,2015.02.05,2015-01-29,2015.01.29,2015-02-04,2015.02.04,1986
125,오빠생각,2016-01-21,2016.01.21,2016-01-14,2016.01.14,2016-01-20,2016.01.20,1976
28,우는 남자,2014-06-04,2014.06.04,2014-05-28,2014.05.28,2014-06-03,2014.06.03,1975
211,독전,2018-05-22,2018.05.22,2018-05-15,2018.05.15,2018-05-21,2018.05.21,1975
170,조작된 도시,2017-02-09,2017.02.09,2017-02-02,2017.02.02,2017-02-08,2017.02.08,1971
52,검은 사제들,2015-11-05,2015.11.05,2015-10-29,2015.10.29,2015-11-04,2015.11.04,1964
93,은밀한 유혹,2015-06-04,2015.06.04,2015-05-28,2015.05.28,2015-06-03,2015.06.03,1954
105,밀정,2016-09-07,2016.09.07,2016-08-31,2016.08.31,2016-09-06,2016.09.06,1915
218,지금 만나러 갑니다,2018-03-14,2018.03.14,2018-03-07,2018.03.07,2018-03-13,2018.03.13,1880
223,협상,2018-09-19,2018.09.19,2018-09-12,2018.09.12,2018-09-18,2018.09.18,1850
109,곡성,2016-05-12,2016.05.12,2016-05-05,2016.05.05,2016-05-11,2016.05.11,1846
141,순정,2016-02-24,2016.02.24,2016-02-17,2016.02.17,2016-02-23,2016.02.23,1842
179,특별시민,2017-04-26,2017.04.26,2017-04-19,2017.04.19,2017-04-25,2017.04.25,1826
135,해어화,2016-04-13,2016.04.13,2016-04-06,2016.04.06,2016-04-12,2016.04.12,1813
150,목숨 건 연애,2016-12-14,2016.12.14,2016-12-07,2016.12.07,2016-12-13,2016.12.13,1805
232,염력,2018-01-31,2018.01.31,2018-01-24,2018.01.24,2018-01-30,2018.01.30,1801
128,좋아해줘,2016-02-17,2016.02.17,2016-02-10,2016.02.10,2016-02-16,2016.02.16,1772
47,베테랑,2015-08-05,2015.08.05,2015-07-29,2015.07.29,2015-08-04,2015.08.04,1763
79,순수의 시대,2015-03-05,2015.03.05,2015-02-26,2015.02.26,2015-03-04,2015.03.04,1761
65,차이나타운,2015-04-29,2015.04.29,2015-04-22,2015.04.22,2015-04-28,2015.04.28,1739
178,브이아이피,2017-08-23,2017.08.23,2017-08-16,2017.08.16,2017-08-22,2017.08.22,1713
198,어느날,2017-04-05,2017.04.05,2017-03-29,2017.03.29,2017-04-04,2017.04.04,1712
58,악의 연대기,2015-05-14,2015.05.14,2015-05-07,2015.05.07,2015-05-13,2015.05.13,1697
137,"로봇, 소리",2016-01-27,2016.01.27,2016-01-20,2016.01.20,2016-01-26,2016.01.26,1697
132,사냥,2016-06-29,2016.06.29,2016-06-22,2016.06.22,2016-06-28,2016.06.28,1684
82,무뢰한,2015-05-27,2015.05.27,2015-05-20,2015.05.20,2015-05-26,2015.05.26,1682
231,챔피언,2018-05-01,2018.05.01,2018-04-24,2018.04.24,2018-04-30,2018.04.30,1675
84,소수의견,2015-06-24,2015.06.24,2015-06-17,2015.06.17,2015-06-23,2015.06.23,1662
3,국제시장,2014-12-17,2014.12.17,2014-12-10,2014.12.10,2014-12-16,2014.12.16,1659
49,내부자들,2015-11-19,2015.11.19,2015-11-12,2015.11.12,2015-11-18,2015.11.18,1659
185,대립군,2017-05-31,2017.05.31,2017-05-24,2017.05.24,2017-05-30,2017.05.30,1647
203,루시드 드림,2017-02-22,2017.02.22,2017-02-15,2017.02.15,2017-02-21,2017.02.21,1618
169,보안관,2017-05-03,2017.05.03,2017-04-26,2017.04.26,2017-05-02,2017.05.02,1583
99,비밀,2015-10-15,2015.10.15,2015-10-08,2015.10.08,2015-10-14,2015.10.14,1577
148,올레,2016-08-25,2016.08.25,2016-08-18,2016.08.18,2016-08-24,2016.08.24,1574
224,창궐,2018-10-25,2018.10.25,2018-10-18,2018.10.18,2018-10-24,2018.10.24,1570
212,공작,2018-08-08,2018.08.08,2018-08-01,2018.08.01,2018-08-07,2018.08.07,1567
14,피끓는 청춘,2014-01-22,2014.01.22,2014-01-15,2014.01.15,2014-01-21,2014.01.21,1556
186,아빠는 딸,2017-04-12,2017.04.12,2017-04-05,2017.04.05,2017-04-11,2017.04.11,1546
127,"고산자, 대동여지도",2016-09-07,2016.09.07,2016-08-31,2016.08.31,2016-09-06,2016.09.06,1538
91,연애의 맛,2015-05-07,2015.05.07,2015-04-30,2015.04.30,2015-05-06,2015.05.06,1529
51,연평해전,2015-06-24,2015.06.24,2015-06-17,2015.06.17,2015-06-23,2015.06.23,1506
81,"협녀, 칼의 기억",2015-08-13,2015.08.13,2015-08-06,2015.08.06,2015-08-12,2015.08.12,1496
97,쓰리 썸머 나잇,2015-07-15,2015.07.15,2015-07-08,2015.07.08,2015-07-14,2015.07.14,1480
219,목격자,2018-08-15,2018.08.15,2018-08-08,2018.08.08,2018-08-14,2018.08.14,1472
227,골든슬럼버,2018-02-14,2018.02.14,2018-02-07,2018.02.07,2018-02-13,2018.02.13,1462
226,리틀 포레스트,2018-02-28,2018.02.28,2018-02-21,2018.02.21,2018-02-27,2018.02.27,1435
236,물괴,2018-09-12,2018.09.12,2018-09-05,2018.09.05,2018-09-11,2018.09.11,1435
121,시간이탈자,2016-04-13,2016.04.13,2016-04-06,2016.04.06,2016-04-12,2016.04.12,1426
41,아빠를 빌려드립니다,2014-11-20,2014.11.20,2014-11-13,2014.11.13,2014-11-19,2014.11.19,1424
95,퇴마: 무녀굴,2015-08-20,2015.08.20,2015-08-13,2015.08.13,2015-08-19,2015.08.19,1415
31,몬스터,2014-03-13,2014.03.13,2014-03-06,2014.03.06,2014-03-12,2014.03.12,1409
156,택시운전사,2017-08-02,2017.08.02,2017-07-26,2017.07.26,2017-08-01,2017.08.01,1399
56,극비수사,2015-06-18,2015.06.18,2015-06-11,2015.06.11,2015-06-17,2015.06.17,1380
74,열정같은소리하고있네,2015-11-25,2015.11.25,2015-11-18,2015.11.18,2015-11-24,2015.11.24,1370
200,비정규직 특수요원,2017-03-16,2017.03.16,2017-03-09,2017.03.09,2017-03-15,2017.03.15,1362
250,나를 기억해,2018-04-19,2018.04.19,2018-04-12,2018.04.12,2018-04-18,2018.04.18,1356
182,해빙,2017-03-01,2017.03.01,2017-02-22,2017.02.22,2017-02-28,2017.02.28,1340
191,보통사람,2017-03-23,2017.03.23,2017-03-16,2017.03.16,2017-03-22,2017.03.22,1326
142,남과 여,2016-02-25,2016.02.25,2016-02-18,2016.02.18,2016-02-24,2016.02.24,1320
177,기억의 밤,2017-11-29,2017.11.29,2017-11-22,2017.11.22,2017-11-28,2017.11.28,1310
34,조선미녀삼총사,2014-01-29,2014.01.29,2014-01-22,2014.01.22,2014-01-28,2014.01.28,1307
68,간신,2015-05-21,2015.05.21,2015-05-14,2015.05.14,2015-05-20,2015.05.20,1307
204,"그래, 가족",2017-02-15,2017.02.15,2017-02-08,2017.02.08,2017-02-14,2017.02.14,1305
168,살인자의 기억법,2017-09-06,2017.09.06,2017-08-30,2017.08.30,2017-09-05,2017.09.05,1304
118,봉이 김선달,2016-07-06,2016.07.06,2016-06-29,2016.06.29,2016-07-05,2016.07.05,1297
151,트릭,2016-07-13,2016.07.13,2016-07-06,2016.07.06,2016-07-12,2016.07.12,1296
157,신과함께-죄와 벌,2017-12-20,2017.12.20,2017-12-13,2017.12.13,2017-12-19,2017.12.19,1293
235,상류사회,2018-08-29,2018.08.29,2018-08-22,2018.08.22,2018-08-28,2018.08.28,1283
184,불한당: 나쁜 놈들의 세상,2017-05-17,2017.05.17,2017-05-10,2017.05.10,2017-05-16,2017.05.16,1431
201,로마의 휴일,2017-08-30,2017.08.30,2017-08-23,2017.08.23,2017-08-29,2017.08.29,1264
10,나의 사랑 나의 신부,2014-10-08,2014.10.08,2014-10-01,2014.10.01,2014-10-07,2014.10.07,1262
76,서부전선,2015-09-24,2015.09.24,2015-09-17,2015.09.17,2015-09-23,2015.09.23,1257
124,"당신, 거기 있어줄래요",2016-12-14,2016.12.14,2016-12-07,2016.12.07,2016-12-13,2016.12.13,1249
8,끝까지 간다,2014-05-29,2014.05.29,2014-05-22,2014.05.22,2014-05-28,2014.05.28,1224
126,"날, 보러와요",2016-04-07,2016.04.07,2016-03-31,2016.03.31,2016-04-06,2016.04.06,1196
195,7호실,2017-11-15,2017.11.15,2017-11-08,2017.11.08,2017-11-14,2017.11.14,1195
167,프리즌,2017-03-23,2017.03.23,2017-03-16,2017.03.16,2017-03-22,2017.03.22,1178
35,마담 뺑덕,2014-10-02,2014.10.02,2014-09-25,2014.09.25,2014-10-01,2014.10.01,1171
190,원라인,2017-03-29,2017.03.29,2017-03-22,2017.03.22,2017-03-28,2017.03.28,1171
192,대장 김창수,2017-10-19,2017.10.19,2017-10-12,2017.10.12,2017-10-18,2017.10.18,1169
206,이웃집 스타,2017-09-21,2017.09.21,2017-09-14,2017.09.14,2017-09-20,2017.09.20,1166
80,오피스,2015-09-03,2015.09.03,2015-08-27,2015.08.27,2015-09-02,2015.09.02,1155
83,내 심장을 쏴라,2015-01-28,2015.01.28,2015-01-21,2015.01.21,2015-01-27,2015.01.27,1148
15,두근두근 내 인생,2014-09-03,2014.09.03,2014-08-27,2014.08.27,2014-09-02,2014.09.02,1123
19,찌라시: 위험한 소문,2014-02-20,2014.02.20,2014-02-13,2014.02.13,2014-02-19,2014.02.19,1121
69,그놈이다,2015-10-28,2015.10.28,2015-10-21,2015.10.21,2015-10-27,2015.10.27,1118
112,판도라,2016-12-07,2016.12.07,2016-11-30,2016.11.30,2016-12-06,2016.12.06,1114
63,더 폰,2015-10-22,2015.10.22,2015-10-15,2015.10.15,2015-10-21,2015.10.21,1110
5,타짜-신의 손,2014-09-03,2014.09.03,2014-08-27,2014.08.27,2014-09-02,2014.09.02,1108
