,俺豪捞傈_包按荐,俺豪1老_包按荐,俺豪2老_包按荐,俺豪3老_包按荐,俺豪4老_包按荐,俺豪5老_包按荐,俺豪6老_包按荐,俺豪7老_包按荐,俺豪8老_包按荐,俺豪9老_包按荐,俺豪10老_包按荐
0,22500,682701,705070,867437,1232529,1257380,990022,869153,702887,652776,690123
1,35335,273445,254862,297432,479385,471916,259470,258062,227125,281635,515794
2,31394,142843,138364,175833,343558,333768,160582,173540,266619,405341,546819
3,33048,184756,198552,241578,442930,454191,204536,217631,335504,543227,333668
4,13964,551841,419127,468320,870278,779539,286565,254286,177631,134986,147005
5,16803,201749,137708,186192,338753,312611,407853,475507,355169,134480,127705
6,6366,287855,359186,256994,381300,405385,444058,320364,81974,90096,116036
7,73945,181459,201477,369886,356481,157809,152240,138051,109707,130509,252252
8,26472,79698,107280,222279,208827,81305,84735,138267,96532,176875,168728
9,7010,105838,154618,141583,207546,236418,273478,228072,67897,66124,104006
10,12831,88406,201045,114571,195146,175493,64377,63330,67241,63269,85482
11,6982,98730,85593,98632,177437,170698,81881,83924,91287,92394,109312
12,63883,274404,422784,168545,254449,239658,104238,112289,137833,160371,95119
13,21156,107854,214023,188016,161491,59650,61149,63068,121538,66295,102188
14,8566,157026,135915,134260,263245,222870,74401,70689,72581,83398,92255
15,13610,99364,63160,100128,190219,154459,198026,236932,192787,31948,41117
16,15982,54153,77528,187283,182612,52826,55447,53881,45478,59311,145943
17,12091,174827,159769,227378,191975,167225,79228,74056,51746,45693,44545
18,4679,89092,107663,126444,183941,135247,69377,72617,62430,52549,62936
19,4631,91576,98038,173347,170847,71326,67588,76044,47022,52973,98798
20,60677,75112,96658,165268,166084,61201,61769,38029,33554,43580,75159
21,11947,98673,222079,182455,142343,39567,39374,39288,88458,45675,59902
22,7863,66643,84300,157498,141712,44516,41827,36846,31295,39563,80644
23,4348,62171,75401,141213,128071,36798,37861,46553,32018,50281,103668
24,30423,101033,57791,125500,108796,35489,36749,37763,19818,26007,44336
25,21016,58083,76470,106949,89174,46218,47468,44754,23510,25842,38164
26,18634,108567,179740,66867,92749,85246,46113,48804,29912,28439,18455
27,16573,54251,56264,111867,106072,39942,40872,37086,22978,26177,48182
28,47328,121991,67165,93916,77511,64429,23788,22676,15917,8870,8723
29,3869,48348,53277,128083,102953,20597,21542,33762,34060,17537,40662
30,2847,39397,51779,55598,90365,77377,29084,26352,21484,22568,24971
31,2366,67380,79801,118950,88993,25492,21955,20226,11707,14091,26196
32,9266,27304,29139,55258,54850,22231,22794,23832,17973,25158,36909
33,2168,24638,50390,68836,85501,62146,18761,27423,30115,11922,16015
34,6799,60234,73883,91330,100291,72271,22138,13868,11559,3594,3961
35,8522,67072,87072,67742,52754,29027,28942,20405,22671,13898,16051
36,40584,38128,39276,56050,53619,26196,26420,17921,16263,17261,24282
37,29256,37015,55203,83246,69225,22309,19745,19292,7233,6574,9313
38,6369,13936,47669,30549,47906,42617,38500,16701,15965,12611,6497
39,6916,26180,31504,44259,42102,14950,14930,17345,7785,14366,28036
40,5647,18744,23897,41273,35167,14126,15330,8864,8004,8237,11684
41,7052,13283,17132,34844,32290,9832,12545,10703,2584,3376,5422
42,3618,20553,20513,27216,23370,10695,10028,5299,2467,3102,3731
43,3931,26180,29174,13350,18219,16690,7033,5833,5279,1352,1048
44,3571,19255,9033,8583,15978,13037,3358,3241,1110,194,149
45,1635,8031,7214,7289,7066,3545,3314,4151,741,356,934
46,1507,5451,4860,9552,7766,2250,2531,2933,260,111,305
47,25421,414219,404907,477754,715334,723999,420701,407694,392815,406788,715051
48,14375,477541,435039,543245,949186,950620,424718,401083,494019,335000,394879
49,113784,230949,283518,489503,488052,211777,194968,251123,189116,247340,464510
50,14455,250237,223381,281969,543047,497421,150543,144379,140417,118066,236352
51,9223,153400,170284,228338,437118,439924,218354,216362,195325,167113,230462
52,7584,191090,272689,581845,551505,187763,163290,227313,228623,248137,460104
53,26776,203173,190883,242838,422443,445051,185312,180295,184877,374902,746400
54,8202,113443,110284,137631,322022,269925,97742,148087,296713,441844,497065
55,18501,151161,114294,160114,358084,334969,107313,107402,123777,81943,128837
56,6663,181737,205567,412599,363234,150695,137205,137384,90688,114215,209996
57,24775,50533,95087,182738,275581,355699,321468,133381,92953,100182,204348
58,12711,114540,168889,293387,270739,92254,82916,87182,60576,80548,153387
59,10822,152329,128753,148335,289789,273777,95381,93456,97141,75646,88251
60,29229,114401,118845,185720,181634,90024,87191,117419,64589,83784,166453
61,7684,133838,153283,157607,282070,238918,92463,86967,61808,56568,61586
62,11447,96139,110021,215539,209098,71810,74780,45328,40911,44199,94504
63,18634,97241,133145,249459,230545,79305,85824,83478,50960,76403,149288
64,19064,128396,107684,116610,185048,181920,67049,64980,58592,93923,166212
65,6348,90899,88335,135205,151207,152370,104859,130500,48433,43274,51970
66,17046,53241,58574,116858,110839,44353,50146,42570,42040,50798,94657
67,13682,89466,160928,156779,135450,46545,43485,48417,35143,50736,88597
68,8947,83605,92994,148495,151096,119493,44454,45182,31806,37664,65359
69,6343,97168,68453,89633,190672,175872,57274,51877,50609,21834,26036
70,15981,56370,84681,90596,80754,42213,41701,48889,25537,30551,48054
71,7868,73635,84013,87228,172506,157682,54693,53266,26099,23312,25778
72,6359,80774,88138,187447,133817,43119,37066,38326,25769,29906,57684
73,7612,144967,112763,181557,142884,43041,36635,31139,19837,23462,30040
74,10298,59737,45872,57470,85758,81861,37007,36564,30175,19003,23274
75,24712,64516,80057,127138,105113,34000,34972,24740,13381,18224,30856
76,4899,47432,48953,79513,113683,121069,85555,21874,12818,10318,17959
77,3904,35936,40055,75954,76288,29568,29959,28583,15051,16720,33126
78,5687,16506,28561,47817,55005,57583,45225,59760,17700,9881,15322
79,10127,61795,59611,108423,84349,28501,25985,24070,8513,9510,15399
80,13061,46567,49454,84900,73136,24309,21851,23911,10794,17423,31448
81,6453,79801,96717,88403,61997,21598,19308,20123,5181,4709,5632
82,8043,50014,36257,41949,74544,61237,24245,21359,13261,8358,9364
83,3969,60407,40561,43565,67941,57156,23342,22703,19557,6182,6792
84,16758,34334,25161,33849,55383,49989,25132,27649,25407,7120,10481
85,2758,53657,55098,83336,63178,25781,22806,13494,5091,5310,8003
86,5650,49585,46596,78064,73781,26420,22846,20687,3274,3213,5129
87,1362,35140,35249,55812,52563,20241,18955,18400,11102,13733,20049
88,6760,49216,34219,39975,53721,44362,19340,17255,15531,6976,4404
89,9178,32277,39065,65545,54697,19458,16139,4052,2482,2837,3452
90,4472,115456,104729,145065,86174,57391,21053,20662,16277,7014,10593
91,2385,16462,20694,43494,43149,18220,19355,19051,3409,4390,7425
92,1082,159066,247992,232822,190471,92964,81170,75721,64349,77646,165024
93,3366,21742,19545,28714,22525,10071,9596,9440,2424,2778,3471
94,3776,26887,20823,24062,21217,10286,9393,9023,1029,1154,1073
95,4043,21790,19020,24276,20928,7140,7005,7247,844,1269,2406
96,4742,10379,13223,26989,21511,4423,4605,2343,564,889,3740
97,3243,12378,10407,11365,13116,11653,6637,5818,778,248,187
98,3985,6142,7072,5883,6631,6352,4168,3917,4487,247,93
99,1959,7539,8950,10422,8880,3871,3198,3237,179,240,358
100,3203,4006,4733,7468,8149,4455,5072,2745,201,215,124
101,517,1620,1889,2406,2301,1139,1186,537,12,36,89
102,326,2126,1803,2176,2129,1159,930,864,,2,4
103,565286,872673,663365,738823,1282013,1195273,499070,419947,422625,299267,337649
104,13008,526680,466676,610145,944998,775005,952387,1180484,936414,312671,299735
105,18533,287228,260642,337358,661311,609044,194553,309009,548388,760862,860728
106,20854,379079,360239,408520,675023,738317,681454,269940,230231,202170,227431
107,12711,464460,354500,405477,691478,697945,495531,462324,319553,263094,273005
108,146036,214065,315620,632885,694091,252102,225831,204977,193799,297299,601815
109,176514,310042,409661,761360,661819,291989,209856,202851,188303,280280,568317
110,14943,267112,254034,282765,446343,441268,252925,249618,189829,183554,206964
111,23444,392856,347324,417071,918759,902734,273151,250253,310391,233247,328306
112,18372,154652,164931,210438,447707,463151,160345,165775,162153,159809,210230
113,10768,290024,259971,312873,481442,470236,395072,146895,136550,106905,132708
114,3772,1570,1502,1919,1943,1207,962,1004,117,90,87
115,20515,75882,136871,164294,318215,322030,124258,123744,175672,100341,123789
116,24846,475482,233804,241877,394406,432276,278180,75757,62284,45189,48309
117,31562,122543,101930,130409,272528,249982,113311,128738,91414,81060,97512
118,12393,136701,120196,155593,321539,302093,98696,99986,74642,66696,75437
119,9080,82893,192319,188592,171697,148710,55279,60426,40969,29117,47559
120,32749,75630,92658,173050,163789,67978,68795,51795,37952,51695,92677
121,12265,155917,42433,63886,145976,126343,38651,39783,38723,41070,52957
122,5398,19124,26875,36130,68852,74035,46731,47480,62460,38021,42269
123,6642,139198,89975,113814,187100,169542,71791,71611,34776,31963,38879
124,18045,92278,93085,104379,155475,148496,67914,71928,33333,29017,33454
125,24951,78467,84019,168534,146119,57761,61529,75302,34428,37166,75252
126,4541,42192,54666,112368,141602,57611,69145,103250,29896,40145,80417
127,20623,29603,31027,40824,88353,90110,31231,42212,71682,108964,124482
128,11969,73132,71574,76361,130316,114651,48451,47616,48328,22937,25838
129,20583,33686,48354,71942,131858,132996,47378,42629,23725,20976,22008
130,28848,61508,53531,59772,99196,104208,103809,35892,15866,14592,15577
131,7519,67607,68328,111188,100689,43069,37505,39483,19951,21592,34686
132,5535,161021,68190,70271,127520,101049,33716,31226,10613,6284,6847
133,3662,41956,53965,106137,97428,35889,26423,27027,22170,30291,57370
134,19152,71077,60105,52002,83476,72639,28988,28081,19310,10262,10979
135,7841,74087,27923,28624,52177,52752,21705,20954,17810,18627,19917
136,15115,28793,39794,66163,62830,24821,29011,21438,14844,17946,31100
137,36250,52321,30475,33754,76161,69800,19185,17114,7058,7318,8555
138,25610,32598,35538,58643,50584,18454,18518,9671,6432,9522,11159
139,1450,32837,23136,29867,52669,42689,13552,11197,10038,7318,9967
140,3067,53485,44302,51512,41340,18830,17817,4341,2277,1906,2009
141,24445,56244,22480,19805,31517,28467,14787,26085,3551,1659,1134
142,7640,27887,27744,33759,26351,20181,24060,11854,2906,3313,3937
143,4057,26847,19465,18851,28327,31146,10064,9999,8035,2171,2165
144,2389,11958,10535,10674,17966,17139,16598,3400,3024,453,535
145,10913,9130,10572,16525,15066,5490,4732,2102,1116,1835,2545
146,2408,15373,14324,13498,11088,5207,4117,4114,1089,285,282
147,3071,5192,4235,22284,18584,1940,2580,1005,619,487,1719
148,2822,12249,10609,13195,11483,4975,5778,1539,1152,564,949
149,4185,13912,7456,7029,9040,8332,3844,3980,418,234,903
150,3279,7489,7532,6514,6817,6019,3678,3515,265,295,25
151,1924,8589,5719,4608,5189,4593,3108,3854,50,18,41
152,1812,5296,5371,5494,5297,3456,2909,313,170,171,15
153,549,1130,3589,6074,5980,4257,2278,853,681,426,324
154,1507,2034,3153,5634,5877,699,683,789,96,261,371
155,1496,2179,2469,3862,2946,958,852,951,10,48,25
156,86713,698088,651779,707113,1123443,1093911,562755,484078,404935,355182,382042
157,16199,406365,401449,497810,968372,1268537,1212822,430026,495106,377807,532755
158,14606,151845,141569,160116,333625,352228,138338,135694,193551,238425,472221
159,30408,164399,206458,277219,333298,369907,425472,403114,178322,177691,155478
160,21629,972161,559467,582364,1016790,917669,468140,402094,248200,199203,187684
161,36656,308298,277400,304102,517559,504156,372146,415335,174950,147050,168999
162,14012,288966,238039,261528,524841,525513,163491,156749,199750,212532,326785
163,38739,213172,224945,263452,474990,473846,159897,149371,201523,124399,141883
164,16112,236952,288951,539301,563824,235668,230227,142017,122170,146049,273400
165,28918,444585,552722,599797,582294,424767,365976,256815,56673,57962,41895
166,31512,87136,121355,242986,243340,87182,87456,126570,72396,119762,202900
167,108154,168336,194224,403084,369870,131499,108066,136337,81339,111341,224529
168,4720,143580,143225,187986,369025,342871,126124,99727,91473,71206,98154
169,22154,206706,193863,281401,294102,261919,149813,241627,65039,64302,86702
170,18203,157669,186738,353192,356648,130484,144305,88129,75708,91801,192248
171,13133,121122,133292,158861,309045,287337,113754,106084,128189,76857,87870
172,19175,201987,141299,174136,330776,313188,113352,104154,59576,56290,73706
173,35331,331736,221304,306562,487098,560046,531469,217247,174979,163429,202189
174,7328,78816,94985,205704,209858,77835,70693,78580,50155,59584,119639
175,16380,108463,79824,99361,202606,215703,158053,102367,128812,86504,130495
176,24942,100941,130102,249687,225890,69429,62262,64328,47573,60262,133987
177,7136,97245,69328,89649,157883,148507,57770,57348,58373,51614,70332
178,7480,174011,160139,146348,244541,207804,77647,68261,63110,30612,33664
179,8631,186007,110872,134485,240988,223261,149835,82119,72290,35640,44484
180,10307,121834,125554,202956,183311,79511,69637,48838,38798,53457,102702
181,4413,73305,80452,149219,151449,62732,57342,58452,42513,52939,102101
182,3024,386128,87354,91277,191841,150264,39765,34330,22936,20217,22843
183,7124,77978,101803,199548,179441,58150,56833,43196,38578,44572,90935
184,26263,95271,91667,87670,150449,138594,50096,43303,29212,22610,26798
185,10744,136240,73171,85851,153756,134745,73276,61573,17446,10589,10115
186,7428,33396,31745,44942,83474,77429,29353,25263,24595,23368,31140
187,6332,57510,60910,93390,84505,33631,31370,29056,11184,13489,25071
188,3891,146965,57733,46591,67807,50734,21996,20030,10820,5955,5625
189,7267,59907,37426,38542,66161,67170,25360,26474,22731,13530,14679
190,9888,53333,30533,41698,86002,69577,24601,21754,14339,10056,11864
191,6396,35583,43460,86992,82796,26302,24083,15679,8311,9908,14710
192,14275,44469,51214,78068,72199,23463,24971,14229,7970,9534,8764
193,5540,84068,25466,26492,35076,61720,53527,21599,15096,3994,2801
194,5453,65584,35835,39873,60277,55284,25585,24027,8161,3661,4312
195,6379,55985,52005,38467,65969,52302,17328,17260,4722,4871,5193
196,2895,49100,53819,74141,61674,19362,21692,18054,3515,5624,4071
197,2623,50553,40934,55584,43168,16872,15278,5479,1259,1394,1439
198,5208,24326,23785,27619,42573,39445,14789,14926,5737,4092,5249
199,5187,13267,12780,22888,20766,11278,12829,7461,5862,4533,6519
200,3559,21892,20211,35653,33426,12282,11076,5583,546,626,1061
201,11008,24402,14432,14784,23751,23080,8052,7032,1755,1186,480
202,6086,15518,14459,16466,22522,23382,9388,9265,2188,1586,1561
203,6135,26333,13396,12099,13976,13308,7423,6983,536,215,261
204,2798,8010,7301,6092,5281,4801,3277,4172,848,124,391
205,2314,5727,5001,4340,4275,2294,2910,377,299,305,47
206,1704,1894,1284,2003,1636,682,786,249,140,62,100
207,1176,793,643,740,700,370,294,638,8,38,10
208,21749,1246603,1078012,1078478,1466225,1302687,629793,515945,395474,325130,356267
209,25250,122859,133051,211699,433290,484415,691357,795259,655960,163516,170503
210,47110,274118,170213,248122,474745,450294,185179,179137,177435,169783,225144
211,7117,376530,161146,158565,219564,459752,430064,157099,137551,299941,142362
212,15097,333316,293161,319083,566483,539350,256834,299991,476029,160322,164591
213,20512,439309,156928,216771,424807,354127,201828,285521,95021,86094,120803
214,7836,121990,94414,136113,301612,296821,124470,115689,73312,73342,98836
215,15947,235184,92253,127030,288726,271180,73793,95060,105042,101536,131759
216,31020,99411,76677,143132,280112,271250,104231,106742,169737,98606,130680
217,68083,198365,117945,185811,423340,373836,109505,87577,92046,78273,111319
218,22580,89772,85399,125650,285322,272180,99894,94239,88210,83417,114375
219,24080,368981,161783,177251,334388,298946,128512,109251,93526,67553,96627
220,35646,142796,155170,327600,304233,91433,89617,72063,143710,231673,280825
221,19208,301330,181581,242516,427163,400083,155844,144472,111993,108907,129288
222,11099,108903,90103,114575,207426,227736,322392,342088,251468,54855,54931
223,24577,81031,67737,99740,172357,173105,228598,257940,207661,62393,72975
224,11370,156629,204987,340570,295422,128950,82772,93528,34487,41687,74884
225,84548,135764,151350,282197,267159,96214,82845,83461,43961,54861,87084
226,15598,131350,167097,78782,154014,139732,50835,47876,40047,35210,48732
227,8685,161564,183922,223269,236581,168610,62366,48097,42786,33505,35745
228,4602,175057,254670,103101,207151,179647,59586,53369,40867,33911,33716
229,8223,57161,65087,91236,222771,209500,59935,54522,49340,39473,49664
230,17430,95534,135974,206378,161658,56883,54858,58994,36074,42063,86145
231,3455,139965,62830,54305,75687,170126,194847,147452,42277,22102,17225
232,8581,264711,101924,103337,204075,164349,35464,30414,22656,15130,7287
233,19666,274510,101715,88857,145053,129514,53845,49925,6072,4966,4267
234,53608,63660,53923,69096,163425,133059,32344,38090,20525,18316,21948
235,3288,131795,82912,89069,99858,101729,41450,34856,26714,20053,22159
236,7437,105255,79106,93286,177848,150958,37928,30590,3083,2784,2916
237,10432,21887,34098,60163,67207,32491,29266,31884,21416,31840,57441
238,3101,54088,60958,85021,74723,51397,42336,16417,11934,13680,18629
239,7911,124688,52833,57164,95491,80035,24482,22447,18854,7840,7438
240,18814,43149,40456,45057,71371,63352,29258,29622,17607,16013,14741
241,4731,54297,51055,53633,93877,94622,28349,25888,10320,7007,7070
242,6318,163644,35733,36922,73455,61671,16218,19263,11667,2917,3829
243,3850,43694,62908,80692,79863,51325,20038,16983,11916,7630,8045
244,20042,122978,112469,139818,233867,198391,73418,68035,66503,65151,88605
245,32406,44340,25879,25042,41663,34244,16986,19723,6715,6517,8111
246,11763,17766,20919,40590,46814,16405,15888,19560,6415,9991,21745
247,,76800,41901,61237,55130,10996,10530,7493,4970,5293,12407
248,6155,32805,16640,23166,46482,36546,8953,7881,5420,4714,6216
249,2542,56855,61369,43373,12123,9619,5304,3846,6655,6037,4784
250,833,18797,22593,33511,31541,13880,12225,1544,720,645,945
251,,19998,14829,18465,30294,27942,11244,10570,1056,767,695
252,1890,13723,19761,8289,15872,15897,5975,5145,2295,1221,1638
253,5877,11085,5871,7804,15010,18715,3366,4156,4509,3963,3781
254,1586,11477,12119,16151,14664,3832,3266,1109,645,459,701
255,638,2357,1602,16093,15726,694,795,746,386,478,7355
256,5079,7666,8000,12015,7349,3203,3186,2695,511,767,659
257,1665,15214,6138,5872,7150,5867,2453,2966,377,78,82
258,1976,8922,6087,5399,5986,6100,3800,2936,579,252,225
259,1012,9499,6437,7436,5506,2681,3176,3176,521,408,170
260,1998,3191,1992,4071,4493,1685,1468,2091,607,791,279
261,1289,2513,2513,14058,14883,1195,1565,1103,711,914,4108
